标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
(北京)中国石油大学,高校/科研院所,高校强特征:大学,1,1,0,,,
(北京)中国矿业大学,高校/科研院所,高校强特征:大学,1,1,0,,,
(徐州)中国矿业大学,高校/科研院所,高校强特征:大学,1,1,0,,,
(武汉)中国地质大学,高校/科研院所,高校强特征:大学,1,1,0,,,
рн-北部石油有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
七台河宝泰隆煤化工股份有限公司圣迈公司,企业研发中心,企业关键词:公司,1,1,0,,,
万华实业集团有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
万隆理工学院,高校/科研院所,高校强特征:学院,26,3,0,,,
三峡大学,高校/科研院所,高校强特征:大学,16,3,0,,,
三河环波软件有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
三重大学,高校/科研院所,高校强特征:大学,20,3,0,,,
上海三鼎工程技术咨询有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海交通大学,高校/科研院所,高校强特征:大学,491,3,1,27,0.226349,中坚创新型
上海分院中国海洋石油中国公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海分院中国海洋石油中国公司有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
上海分院中国海洋石油中国有限公司,企业研发中心,企业关键词:公司,9,3,0,,,
上海分院中国海洋石油公司有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海分院公司中国海洋石油中国有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
上海大学,高校/科研院所,高校强特征:大学,107,3,0,,,
上海大学纳米科,高校/科研院所,高校强特征:大学,1,1,0,,,
上海工业自动化仪表研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
上海工程技术大学,高校/科研院所,高校强特征:大学,34,2,0,,,
上海市力学在能源工程中的应用重点实验室,高校/科研院所,高校科研关键词:实验室,2,1,0,,,
上海市特种设备监督检验技术研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
上海师范大学,高校/科研院所,高校强特征:大学,21,3,0,,,
上海应用技术大学,高校/科研院所,高校强特征:大学,32,3,0,,,
上海应用物理研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
上海恩德斯-豪斯自动化设备有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海振华重工股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海材料研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
上海污染控制与生态安全研究院,高校/科研院所,高校科研关键词:研究院,86,2,0,,,
上海洛派克能源工程技术开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海海洋油气分公司,企业研发中心,企业关键词:公司,2,1,0,,,
上海海洋石油局,企业研发中心,企业关键词:石油局,1,1,0,,,
上海海洋石油局第一海洋地质调查大队,企业研发中心,企业关键词:石油局,1,1,0,,,
上海海隆石油管材研究所,高校/科研院所,高校科研关键词:研究所,4,1,0,,,
上海理工大学,高校/科研院所,高校强特征:大学,108,3,0,,,
上海电力大学,高校/科研院所,高校强特征:大学,45,3,0,,,
上海石化设备检验检测有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海石化院情报部调研组,企业研发中心,企业关键词:石化,1,1,0,,,
上海石油天然气有限公司,企业研发中心,企业关键词:公司,6,1,0,,,
上海石油学会,其他,未命中规则,2,1,0,,,
上海科技大学,高校/科研院所,高校强特征:大学,24,3,0,,,
上海空间推进研究所,高校/科研院所,高校科研关键词:研究所,1,1,0,,,
上海空间电源研究所,高校/科研院所,高校科研关键词:研究所,9,2,0,,,
上海第二工业大学,高校/科研院所,高校强特征:大学,10,2,0,,,
上海蓝星聚甲醛有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海锐雅投资有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
上海锦迪软件开发有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
上阿尔萨斯大学,高校/科研院所,高校强特征:大学,10,3,0,,,
不伦瑞克工业大学,高校/科研院所,高校强特征:大学,4,2,0,,,
不来梅大学,高校/科研院所,高校强特征:大学,45,3,0,,,
世宗大学,高校/科研院所,高校强特征:大学,54,3,0,,,
丘库罗瓦大学,高校/科研院所,高校强特征:大学,3,2,0,,,
东亚大学(韩国),高校/科研院所,高校强特征:大学,18,2,0,,,
东京农工大学,高校/科研院所,高校强特征:大学,28,3,0,,,
东京大学,高校/科研院所,高校强特征:大学,131,3,0,,,
东京工业大学,高校/科研院所,高校强特征:大学,71,3,0,,,
东京海洋大学,高校/科研院所,高校强特征:大学,5,3,0,,,
东京理科大学,高校/科研院所,高校强特征:大学,55,3,0,,,
东北亚生物演化与环境教育部重点实验室,高校/科研院所,高校科研关键词:实验室,1,1,0,,,
东北农业大学,高校/科研院所,高校强特征:大学,30,3,0,,,
东北大学,高校/科研院所,高校强特征:大学,11,3,0,,,
东北大学(日本),高校/科研院所,高校强特征:大学,123,3,0,,,
东北大学(美国),高校/科研院所,高校强特征:大学,131,3,1,73,0.162064,特色细分型
东北师范大学,高校/科研院所,高校强特征:大学,33,2,0,,,
东北林业大学,高校/科研院所,高校强特征:大学,28,3,0,,,
东北油气分公司,企业研发中心,企业关键词:公司,5,1,0,,,
东北电力大学,高校/科研院所,高校强特征:大学,29,3,0,,,
东北石油大学,高校/科研院所,高校强特征:大学,1267,3,1,88,0.130672,特色细分型
东北石油大学中国石油天然气集团断裂控藏研究室,高校/科研院所,高校强特征:大学,2,1,0,,,
东北石油大学博士后流动站,高校/科研院所,高校强特征:大学,1,1,0,,,
东北石油大学博士后科,高校/科研院所,高校强特征:大学,1,1,0,,,
东北石油大学地球科,高校/科研院所,高校强特征:大学,137,1,0,,,
东北石油大学总务处,高校/科研院所,高校强特征:大学,2,1,0,,,
东北石油大学数学科,高校/科研院所,高校强特征:大学,2,1,0,,,
东北石油大学机械科,高校/科研院所,高校强特征:大学,5,1,0,,,
东北石油大学电子科,高校/科研院所,高校强特征:大学,2,1,0,,,
东北石油大学秦皇岛分校,高校/科研院所,高校强特征:大学,2,1,0,,,
东北石油局安全环保处,企业研发中心,企业关键词:石油局,1,1,0,,,
东北石油局工程技术处,企业研发中心,企业关键词:石油局,1,1,0,,,
东华大学,高校/科研院所,高校强特征:大学,129,3,1,67,0.169836,特色细分型
东华理工大学,高校/科研院所,高校强特征:大学,63,3,0,,,
东华理工大学化学生物与材料科,高校/科研院所,高校强特征:大学,1,1,0,,,
东华理工大学地球科,高校/科研院所,高校强特征:大学,4,1,0,,,
东华理工大学放射性地质与勘探技术国防重点学科,高校/科研院所,高校强特征:大学,2,1,0,,,
东华理工大学核资源与环境国家重点实验室,高校/科研院所,高校强特征:大学,1,1,0,,,
东南大学,高校/科研院所,高校强特征:大学,340,3,1,47,0.195116,中坚创新型
东南挪威大学,高校/科研院所,高校强特征:大学,2,1,0,,,
东国大学,高校/科研院所,高校强特征:大学,16,3,0,,,
东安格利亚大学,高校/科研院所,高校强特征:大学,9,2,0,,,
东巴黎大学,高校/科研院所,高校强特征:大学,9,3,0,,,
东方公司装备服务处,企业研发中心,企业关键词:公司,1,1,0,,,
东方公司长庆物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司,企业研发中心,企业关键词:公司,19,1,0,,,
东方地球物理公司信息技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司北京中油瑞飞,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司华北物探处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司吐哈物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司国际勘探事业部,企业研发中心,企业关键词:公司,10,1,0,,,
东方地球物理公司塔里木物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司大港分院,企业研发中心,企业关键词:公司,2,1,0,,,
东方地球物理公司大港物探处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司市场开发处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司新兴物探开发处,企业研发中心,企业关键词:公司,14,1,0,,,
东方地球物理公司新疆地质调查处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司油藏地球物理中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司油藏地球物理研究中心,企业研发中心,企业关键词:公司,11,2,0,,,
东方地球物理公司海上勘探事业部,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司物探技术研发中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司物探技术研究中心,企业研发中心,企业关键词:公司,33,2,0,,,
