rank_top100,institution_norm,count,cnki_count,wos_count,cscd_count
1,中国石油大学（北京）,14335,5777,6362,2196
2,中国科学院,12890,1051,11520,319
3,中国石油化工股份有限公司,9825,7383,1531,911
4,中国石油天然气股份有限公司,9394,2629,3408,3357
5,西南石油大学,6488,2681,2122,1685
6,中国石油大学（华东）,4896,469,2631,1796
7,中国科学院大学,4753,8,4708,37
8,长江大学,4331,3168,672,491
9,清华大学,4212,78,4104,30
10,浙江大学,4145,164,3894,87
11,天津大学,4087,120,3907,60
12,华东理工大学,3446,247,3031,168
13,中国地质大学,3260,884,2153,223
14,中国矿业大学,2998,215,2673,110
15,西安交通大学,2898,44,2850,4
16,北京化工大学,2844,316,2396,132
17,四川大学,2837,74,2725,38
18,成都理工大学,2755,1079,794,882
19,上海交通大学,2721,55,2652,14
20,华中科技大学,2682,35,2638,9
21,大连理工大学,2526,162,2317,47
22,哈尔滨工业大学,2513,48,2447,18
23,华南理工大学,2370,83,2255,32
24,中国科学技术大学,2283,33,2235,15
25,东北石油大学,2268,979,751,538
26,俄罗斯科学院,2233,0,2233,0
27,中国石油勘探开发研究院,2003,393,37,1573
28,东南大学,1924,20,1892,12
29,重庆大学,1918,35,1866,17
30,中国海洋石油有限公司,1916,351,394,1171
31,西安石油大学,1884,1069,481,334
32,同济大学,1831,144,1602,85
33,南京工业大学,1790,141,1596,53
34,吉林大学,1778,210,1386,182
35,中南大学,1719,61,1614,44
36,辽宁石油化工大学,1695,1265,258,172
37,中国地质大学（北京）,1689,546,541,602
38,太原理工大学,1669,53,1569,47
39,山东大学,1591,40,1533,18
40,阿尔伯塔大学,1583,2,1573,8
41,北京大学,1574,228,1190,156
42,印度理工学院,1568,0,1568,0
43,江苏大学,1527,29,1474,24
44,湖南大学,1493,14,1473,6
45,北京理工大学,1422,24,1388,10
46,新加坡国立大学,1420,0,1420,0
47,得克萨斯大学奥斯汀分校,1363,5,1349,9
48,青岛科技大学,1356,222,969,165
49,南京大学,1335,69,1198,68
50,卡尔加里大学,1322,2,1310,10
51,郑州大学,1287,60,1209,18
52,得克萨斯农工大学,1246,0,1239,7
53,帝国理工学院,1242,1,1240,1
54,中山大学,1215,58,1126,31
55,华北电力大学,1212,12,1198,2
56,西北大学,1185,333,688,164
57,丹麦技术大学,1154,0,1154,0
58,北京科技大学,1136,79,1021,36
59,中国石油天然气集团有限公司,1130,52,905,173
60,山东科技大学,1108,93,938,77
61,香港理工大学,1072,1,1070,1
62,南京理工大学,1043,36,958,49
63,浙江工业大学,1035,44,965,26
64,广东工业大学,1020,9,1004,7
65,厦门大学,1004,19,981,4
66,南京林业大学,984,5,975,4
67,常州大学,954,217,641,96
68,中国教育部,948,0,948,0
69,南洋理工大学,936,0,936,0
70,法赫德国王石油与矿业大学,928,0,923,5
71,福州大学,925,28,883,14
72,武汉大学,922,63,840,19
73,中海油研究总院,918,685,158,75
74,挪威科技大学,913,0,913,0
75,广西大学,911,20,883,8
76,河北工业大学,910,106,738,66
77,宾夕法尼亚州立大学,900,4,896,0
78,代尔夫特理工大学,899,0,897,2
79,科廷大学,899,0,893,6
80,伊斯兰阿扎德大学,892,1,889,2
81,南开大学,885,19,860,6
82,昆明理工大学,882,18,848,16
83,昆士兰大学,864,1,863,0
84,武汉理工大学,852,24,817,11
85,高丽大学,827,2,825,0
86,东北大学（美国）,814,6,798,10
87,蒙纳士大学,812,0,811,1
88,亚琛工业大学,790,0,790,0
89,深圳大学,775,2,772,1
90,江南大学,772,22,741,9
91,苏州大学,762,11,749,2
92,佐治亚理工学院,759,0,759,0
93,新南威尔士大学,758,0,755,3
94,香港城市大学,752,0,752,0
95,德黑兰大学,742,2,737,3
96,中国矿业大学（北京）,742,12,647,83
97,东华大学,736,26,708,2
98,北京工业大学,722,27,676,19
99,河南理工大学,709,55,607,47
100,上海大学,697,22,668,7
