rank_top100,institution_norm,topsis_score,topsis_rank,research_output_subscore,academic_impact_subscore,collaboration_international_subscore,distinct_paper_count,recent_paper_ratio_2021_2025,h_index,high_cited_paper_ratio,collaboration_paper_ratio,international_collaboration_paper_ratio,partner_country_region_count
2,中国科学院,0.794589,1,0.834981,0.751176,0.637929,12356,0.5152,113,0.1294,0.9302,0.1811,78
1,中国石油大学（北京）,0.756583,2,0.752953,0.398676,0.439736,13000,0.2317,78,0.0556,0.7844,0.1122,60
3,中国石油化工股份有限公司,0.557167,3,0.459813,0.275744,0.202625,8655,0.0966,63,0.0364,0.6448,0.0307,31
4,中国石油天然气股份有限公司,0.544627,4,0.477825,0.561726,0.393803,8056,0.2193,96,0.0855,0.8329,0.0627,44
5,西南石油大学,0.384789,5,0.364053,0.227388,0.373689,5785,0.2441,54,0.0361,0.7976,0.0771,43
7,中国科学院大学,0.348287,6,0.450757,0.458181,0.59162,4752,0.5903,70,0.1006,0.9931,0.1492,56
6,中国石油大学（华东）,0.333751,7,0.372965,0.24618,0.437121,4868,0.3868,54,0.0444,0.7938,0.1321,54
9,清华大学,0.323389,8,0.384208,0.633413,0.426023,4192,0.5033,85,0.1429,0.7066,0.2364,52
11,天津大学,0.300642,9,0.380139,0.522568,0.396067,4010,0.5175,76,0.115,0.709,0.19,50
10,浙江大学,0.295664,10,0.367733,0.520441,0.403657,3882,0.5044,75,0.1164,0.6731,0.2197,55
46,新加坡国立大学,0.270281,11,0.212236,0.792446,0.667021,1420,0.4535,81,0.2225,0.7275,0.669,50
69,南洋理工大学,0.261355,12,0.200149,0.553462,0.782729,936,0.4882,57,0.1731,0.8226,0.7671,49
53,帝国理工学院,0.253925,13,0.164952,0.571209,0.793858,1240,0.3629,63,0.1669,0.7944,0.6766,73
83,昆士兰大学,0.246923,14,0.175257,0.467972,0.778323,864,0.4375,53,0.1447,0.8287,0.7326,52
13,中国地质大学,0.246179,15,0.265645,0.403846,0.607592,3161,0.3527,65,0.0883,0.8934,0.2338,68
12,华东理工大学,0.245435,16,0.31698,0.397326,0.245018,3397,0.4457,63,0.0901,0.549,0.1593,43
8,长江大学,0.243647,17,0.213288,0.094088,0.188909,3935,0.1238,37,0.017,0.6475,0.0325,26
