阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,二氧化碳 / 实验 / 注入 / 模拟,868,13934,0.062294
2011-2015,头部引领型,T02,储层 / 孔隙 / 渗透率 / 裂缝,1899,13934,0.136285
2011-2015,头部引领型,T03,油田 / 钻井 / 储层 / 地层,567,13934,0.040692
2011-2015,头部引领型,T04,钻井 / 裂缝 / 水平 / 水力压裂,1716,13934,0.123152
2011-2015,头部引领型,T05,产品 / 催化剂 / 收率 / 汽油,760,13934,0.054543
2011-2015,头部引领型,T06,水合物 / 地层 / 颗粒 / 浓度,745,13934,0.053466
2011-2015,头部引领型,T07,地震 / 速度 / 频率 / 反演,1061,13934,0.076145
2011-2015,头部引领型,T08,储层 / 地震 / 预测 / 测井,1162,13934,0.083393
2011-2015,头部引领型,T09,盆地 / 构造 / 地层 / 沉积,1849,13934,0.132697
2011-2015,头部引领型,T10,岩石 / 成藏 / 储层 / 地层,1263,13934,0.090642
2011-2015,头部引领型,T11,驱替 / 注入 / 储层 / 页岩,1252,13934,0.089852
2011-2015,头部引领型,T12,催化剂 / 地层 / 吸附 / 活性,792,13934,0.056839
2011-2015,中坚创新型,T01,二氧化碳 / 实验 / 注入 / 模拟,387,1730,0.223699
2011-2015,中坚创新型,T02,储层 / 孔隙 / 渗透率 / 裂缝,119,1730,0.068786
2011-2015,中坚创新型,T03,油田 / 钻井 / 储层 / 地层,3,1730,0.001734
2011-2015,中坚创新型,T04,钻井 / 裂缝 / 水平 / 水力压裂,47,1730,0.027168
2011-2015,中坚创新型,T05,产品 / 催化剂 / 收率 / 汽油,123,1730,0.071098
2011-2015,中坚创新型,T06,水合物 / 地层 / 颗粒 / 浓度,169,1730,0.097688
2011-2015,中坚创新型,T07,地震 / 速度 / 频率 / 反演,93,1730,0.053757
2011-2015,中坚创新型,T08,储层 / 地震 / 预测 / 测井,87,1730,0.050289
2011-2015,中坚创新型,T09,盆地 / 构造 / 地层 / 沉积,82,1730,0.047399
2011-2015,中坚创新型,T10,岩石 / 成藏 / 储层 / 地层,47,1730,0.027168
2011-2015,中坚创新型,T11,驱替 / 注入 / 储层 / 页岩,44,1730,0.025434
2011-2015,中坚创新型,T12,催化剂 / 地层 / 吸附 / 活性,529,1730,0.30578
2011-2015,特色细分型,T01,二氧化碳 / 实验 / 注入 / 模拟,382,5921,0.064516
2011-2015,特色细分型,T02,储层 / 孔隙 / 渗透率 / 裂缝,825,5921,0.139335
2011-2015,特色细分型,T03,油田 / 钻井 / 储层 / 地层,315,5921,0.0532
2011-2015,特色细分型,T04,钻井 / 裂缝 / 水平 / 水力压裂,386,5921,0.065192
2011-2015,特色细分型,T05,产品 / 催化剂 / 收率 / 汽油,236,5921,0.039858
2011-2015,特色细分型,T06,水合物 / 地层 / 颗粒 / 浓度,251,5921,0.042391
2011-2015,特色细分型,T07,地震 / 速度 / 频率 / 反演,432,5921,0.072961
2011-2015,特色细分型,T08,储层 / 地震 / 预测 / 测井,525,5921,0.088667
2011-2015,特色细分型,T09,盆地 / 构造 / 地层 / 沉积,1080,5921,0.182402
2011-2015,特色细分型,T10,岩石 / 成藏 / 储层 / 地层,502,5921,0.084783
2011-2015,特色细分型,T11,驱替 / 注入 / 储层 / 页岩,416,5921,0.070258
2011-2015,特色细分型,T12,催化剂 / 地层 / 吸附 / 活性,571,5921,0.096436
2016-2020,头部引领型,T01,储层 / 裂缝 / 渗透率 / 应力,1549,9619,0.161035
2016-2020,头部引领型,T02,盆地 / 断层 / 构造 / 岩石,1234,9619,0.128288
2016-2020,头部引领型,T03,孔隙 / 页岩 / 储层 / 孔隙度,1245,9619,0.129431
2016-2020,头部引领型,T04,钻井 / 水力压裂 / 凝胶 / 储层,687,9619,0.071421
2016-2020,头部引领型,T05,颗粒 / 燃烧 / 灰分 / 实验,521,9619,0.054164
2016-2020,头部引领型,T06,催化剂 / 催化 / 构造 / 活性,960,9619,0.099802
2016-2020,头部引领型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,317,9619,0.032956
2016-2020,头部引领型,T08,水合物 / 甲烷 / 聚合物 / 实验,447,9619,0.046471
2016-2020,头部引领型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,809,9619,0.084104
2016-2020,头部引领型,T10,二氧化碳 / 注入 / 采收率 / 稠油,484,9619,0.050317
2016-2020,头部引领型,T11,产品 / 热解 / 收率 / 化合物,469,9619,0.048758
2016-2020,头部引领型,T12,地震 / 频率 / 速度 / 反演,897,9619,0.093253
2016-2020,中坚创新型,T01,储层 / 裂缝 / 渗透率 / 应力,337,3314,0.10169
2016-2020,中坚创新型,T02,盆地 / 断层 / 构造 / 岩石,87,3314,0.026252
2016-2020,中坚创新型,T03,孔隙 / 页岩 / 储层 / 孔隙度,228,3314,0.068799
2016-2020,中坚创新型,T04,钻井 / 水力压裂 / 凝胶 / 储层,58,3314,0.017502
2016-2020,中坚创新型,T05,颗粒 / 燃烧 / 灰分 / 实验,414,3314,0.124925
2016-2020,中坚创新型,T06,催化剂 / 催化 / 构造 / 活性,797,3314,0.240495
2016-2020,中坚创新型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,149,3314,0.044961
2016-2020,中坚创新型,T08,水合物 / 甲烷 / 聚合物 / 实验,239,3314,0.072118
2016-2020,中坚创新型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,95,3314,0.028666
2016-2020,中坚创新型,T10,二氧化碳 / 注入 / 采收率 / 稠油,269,3314,0.081171
2016-2020,中坚创新型,T11,产品 / 热解 / 收率 / 化合物,480,3314,0.14484
2016-2020,中坚创新型,T12,地震 / 频率 / 速度 / 反演,161,3314,0.048582
2016-2020,特色细分型,T01,储层 / 裂缝 / 渗透率 / 应力,859,6343,0.135425
2016-2020,特色细分型,T02,盆地 / 断层 / 构造 / 岩石,852,6343,0.134321
2016-2020,特色细分型,T03,孔隙 / 页岩 / 储层 / 孔隙度,690,6343,0.108781
2016-2020,特色细分型,T04,钻井 / 水力压裂 / 凝胶 / 储层,346,6343,0.054548
2016-2020,特色细分型,T05,颗粒 / 燃烧 / 灰分 / 实验,275,6343,0.043355
2016-2020,特色细分型,T06,催化剂 / 催化 / 构造 / 活性,850,6343,0.134006
2016-2020,特色细分型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,217,6343,0.034211
2016-2020,特色细分型,T08,水合物 / 甲烷 / 聚合物 / 实验,270,6343,0.042567
2016-2020,特色细分型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,690,6343,0.108781
2016-2020,特色细分型,T10,二氧化碳 / 注入 / 采收率 / 稠油,305,6343,0.048085
2016-2020,特色细分型,T11,产品 / 热解 / 收率 / 化合物,362,6343,0.057071
2016-2020,特色细分型,T12,地震 / 频率 / 速度 / 反演,627,6343,0.098849
2021-2025,头部引领型,T01,构造 / 复合材料 / 强度 / 材料,580,9985,0.058087
2021-2025,头部引领型,T02,产品 / 热解 / 收率 / 机理,903,9985,0.090436
2021-2025,头部引领型,T03,页岩 / 孔隙 / 储层 / 岩石,980,9985,0.098147
2021-2025,头部引领型,T04,水合物 / 二氧化碳 / 采收率 / 注入,1621,9985,0.162344
2021-2025,头部引领型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,373,9985,0.037356
2021-2025,头部引领型,T06,储层 / 钻井 / 预测 / 地震,1896,9985,0.189885
2021-2025,头部引领型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,1236,9985,0.123786
2021-2025,头部引领型,T08,盆地 / 断层 / 构造 / 储层,842,9985,0.084326
2021-2025,头部引领型,T09,催化剂 / 催化 / 活性 / 位点,991,9985,0.099249
2021-2025,头部引领型,T10,二氧化碳 / 构造 / 密度 / 稳定性,563,9985,0.056385
2021-2025,中坚创新型,T01,构造 / 复合材料 / 强度 / 材料,534,6020,0.088704
2021-2025,中坚创新型,T02,产品 / 热解 / 收率 / 机理,1083,6020,0.1799
2021-2025,中坚创新型,T03,页岩 / 孔隙 / 储层 / 岩石,207,6020,0.034385
2021-2025,中坚创新型,T04,水合物 / 二氧化碳 / 采收率 / 注入,758,6020,0.125914
2021-2025,中坚创新型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,516,6020,0.085714
2021-2025,中坚创新型,T06,储层 / 钻井 / 预测 / 地震,557,6020,0.092525
2021-2025,中坚创新型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,836,6020,0.13887
2021-2025,中坚创新型,T08,盆地 / 断层 / 构造 / 储层,126,6020,0.02093
2021-2025,中坚创新型,T09,催化剂 / 催化 / 活性 / 位点,712,6020,0.118272
2021-2025,中坚创新型,T10,二氧化碳 / 构造 / 密度 / 稳定性,691,6020,0.114784
2021-2025,特色细分型,T01,构造 / 复合材料 / 强度 / 材料,578,7770,0.074389
2021-2025,特色细分型,T02,产品 / 热解 / 收率 / 机理,922,7770,0.118662
2021-2025,特色细分型,T03,页岩 / 孔隙 / 储层 / 岩石,560,7770,0.072072
2021-2025,特色细分型,T04,水合物 / 二氧化碳 / 采收率 / 注入,981,7770,0.126255
2021-2025,特色细分型,T05,燃烧 / 火焰 / 颗粒 / 烟炱,308,7770,0.03964
2021-2025,特色细分型,T06,储层 / 钻井 / 预测 / 地震,1107,7770,0.142471
2021-2025,特色细分型,T07,裂缝 / 孔隙 / 渗透率 / 吸附,965,7770,0.124196
2021-2025,特色细分型,T08,盆地 / 断层 / 构造 / 储层,703,7770,0.090476
2021-2025,特色细分型,T09,催化剂 / 催化 / 活性 / 位点,880,7770,0.113256
2021-2025,特色细分型,T10,二氧化碳 / 构造 / 密度 / 稳定性,766,7770,0.098584
