榜单类型,榜内排名,标准化机构名称,主属国家/地区,TOPSIS综合排名,得分指标,得分值,备注
综合排名,1,中国科学院,中国,1,TOPSIS综合得分,0.794589,
综合排名,2,中国石油大学（北京）,中国,2,TOPSIS综合得分,0.756583,
综合排名,3,中国石油化工股份有限公司,中国,3,TOPSIS综合得分,0.557167,
综合排名,4,中国石油天然气股份有限公司,中国,4,TOPSIS综合得分,0.544627,
综合排名,5,西南石油大学,中国,5,TOPSIS综合得分,0.384789,
综合排名,6,中国科学院大学,中国,6,TOPSIS综合得分,0.348287,
综合排名,7,中国石油大学（华东）,中国,7,TOPSIS综合得分,0.333751,
综合排名,8,清华大学,中国,8,TOPSIS综合得分,0.323389,
综合排名,9,天津大学,中国,9,TOPSIS综合得分,0.300642,
综合排名,10,浙江大学,中国,10,TOPSIS综合得分,0.295664,
科研产出维度,1,中国科学院,中国,1,科研产出子得分,0.834981,该机构在该维度与综合排名上均表现突出
科研产出维度,2,中国石油大学（北京）,中国,2,科研产出子得分,0.752953,该机构在该维度与综合排名上均表现突出
科研产出维度,3,中国石油天然气股份有限公司,中国,4,科研产出子得分,0.477825,该机构在该维度与综合排名上均表现突出
科研产出维度,4,中国石油化工股份有限公司,中国,3,科研产出子得分,0.459813,该机构在该维度与综合排名上均表现突出
科研产出维度,5,中国科学院大学,中国,6,科研产出子得分,0.450757,该机构在该维度与综合排名上均表现突出
科研产出维度,6,清华大学,中国,8,科研产出子得分,0.384208,
科研产出维度,7,四川大学,中国,25,科研产出子得分,0.381793,
科研产出维度,8,天津大学,中国,9,科研产出子得分,0.380139,
科研产出维度,9,中国石油大学（华东）,中国,7,科研产出子得分,0.372965,
科研产出维度,10,浙江大学,中国,10,科研产出子得分,0.367733,
学术影响维度,1,湖南大学,中国,28,学术影响子得分,0.83578,该机构在该维度表现明显优于其综合排名
学术影响维度,2,新加坡国立大学,新加坡,11,学术影响子得分,0.792446,该机构在该维度与综合排名上均表现突出
学术影响维度,3,中国科学院,中国,1,学术影响子得分,0.751176,该机构在该维度与综合排名上均表现突出
学术影响维度,4,华南理工大学,中国,26,学术影响子得分,0.717728,该机构在该维度表现明显优于其综合排名
学术影响维度,5,江苏大学,中国,41,学术影响子得分,0.668379,该机构在该维度表现明显优于其综合排名
学术影响维度,6,清华大学,中国,8,学术影响子得分,0.633413,
学术影响维度,7,香港城市大学,中国,39,学术影响子得分,0.627588,该机构在该维度表现明显优于其综合排名
学术影响维度,8,科廷大学,澳大利亚,20,学术影响子得分,0.610877,
学术影响维度,9,蒙纳士大学,澳大利亚,19,学术影响子得分,0.599466,
学术影响维度,10,佐治亚理工学院,美国,33,学术影响子得分,0.594805,该机构在该维度表现明显优于其综合排名
合作与国际化维度,1,帝国理工学院,英国,13,合作与国际化子得分,0.793858,该机构在该维度与综合排名上均表现突出
合作与国际化维度,2,南洋理工大学,新加坡,12,合作与国际化子得分,0.782729,该机构在该维度与综合排名上均表现突出
合作与国际化维度,3,昆士兰大学,澳大利亚,14,合作与国际化子得分,0.778323,该机构在该维度与综合排名上均表现突出
合作与国际化维度,4,蒙纳士大学,澳大利亚,19,合作与国际化子得分,0.727206,该机构在该维度与综合排名上均表现突出
合作与国际化维度,5,丹麦技术大学,丹麦,21,合作与国际化子得分,0.709772,
合作与国际化维度,6,代尔夫特理工大学,荷兰,23,合作与国际化子得分,0.703822,
合作与国际化维度,7,科廷大学,澳大利亚,20,合作与国际化子得分,0.685584,
合作与国际化维度,8,新加坡国立大学,新加坡,11,合作与国际化子得分,0.667021,
合作与国际化维度,9,挪威科技大学,挪威,32,合作与国际化子得分,0.664068,该机构在该维度表现明显优于其综合排名
合作与国际化维度,10,中国科学院,中国,1,合作与国际化子得分,0.637929,
