rank_top100,institution_norm,occurrence_count,occurrence_cnki_count,occurrence_wos_count,occurrence_cscd_count,distinct_paper_count,distinct_cnki_paper_count,distinct_wos_paper_count,distinct_cscd_paper_count,first_paper_year,latest_paper_year,active_year_count,avg_annual_paper_count,paper_count_2011_2015,paper_count_2016_2020,paper_count_2021_2025,recent_paper_ratio_2021_2025,total_citations,avg_citations_per_paper,median_citations_per_paper,max_citations,h_index,cited_paper_count,cited_paper_ratio,uncited_paper_count,uncited_paper_ratio,high_cited_paper_count,high_cited_paper_ratio,collaboration_paper_count,collaboration_paper_ratio,partner_institution_count,avg_partner_institutions_per_collab_paper,primary_country_region,international_collaboration_paper_count,international_collaboration_paper_ratio,international_partner_institution_count,partner_country_region_count
1,中国石油大学（北京）,14335,5777,6362,2196,13000,4768,6063,2169,2011,2025,15,866.6667,6980,3008,3012,0.2317,109670.0,8.4362,4.0,410.0,78,10783,0.8295,2217,0.1705,723,0.0556,10197,0.7844,5180,1.8934,中国,1458,0.1122,464,60
2,中国科学院,12890,1051,11520,319,12356,696,11346,314,2011,2025,15,823.7333,2584,3406,6366,0.5152,165524.0,13.3962,5.0,548.0,113,9860,0.798,2496,0.202,1599,0.1294,11494,0.9302,4058,2.1463,中国,2238,0.1811,1026,78
3,中国石油化工股份有限公司,9862,7394,1531,937,8683,6294,1483,906,2011,2025,15,578.8667,6764,1080,839,0.0966,58480.0,6.735,3.0,274.0,64,6899,0.7945,1784,0.2055,318,0.0366,5606,0.6456,2809,1.8022,中国,266,0.0306,144,31
4,中国石油天然气股份有限公司,9464,2635,3426,3403,8108,2026,2942,3140,2011,2025,15,540.5333,3753,2581,1774,0.2188,91390.0,11.2716,5.0,876.0,96,6651,0.8203,1457,0.1797,693,0.0855,6746,0.832,3631,2.0299,中国,507,0.0625,239,44
5,西南石油大学,6488,2681,2122,1685,5785,2087,2067,1631,2011,2025,15,385.6667,2929,1444,1412,0.2441,37823.0,6.5381,3.0,243.0,54,4523,0.7818,1262,0.2182,209,0.0361,4614,0.7976,3419,1.8864,中国,446,0.0771,198,43
6,中国石油大学（华东）,4896,469,2631,1796,4868,469,2621,1778,2011,2025,15,324.5333,1257,1728,1883,0.3868,33311.0,6.8429,3.0,182.0,54,3701,0.7603,1167,0.2397,216,0.0444,3864,0.7938,2230,1.9638,中国,643,0.1321,263,54
7,中国科学院大学,4753,8,4708,37,4752,8,4707,37,2013,2025,13,316.8,376,1571,2805,0.5903,51570.0,10.8523,5.0,226.0,70,3754,0.79,998,0.21,478,0.1006,4719,0.9931,1656,2.1712,中国,709,0.1492,430,56
8,长江大学,4331,3168,672,491,3935,2794,658,483,2011,2025,15,262.3333,3006,442,487,0.1238,14964.0,3.8028,1.0,111.0,37,2662,0.6765,1273,0.3235,67,0.017,2548,0.6475,1832,1.7139,中国,128,0.0325,91,26
9,清华大学,4212,78,4104,30,4192,63,4099,30,2011,2025,15,279.4667,703,1379,2110,0.5033,60079.0,14.3318,6.0,581.0,85,3397,0.8104,795,0.1896,599,0.1429,2962,0.7066,1602,1.9693,中国,991,0.2364,467,52
10,浙江大学,4145,164,3894,87,3882,131,3666,85,2011,2025,15,258.8,848,1076,1958,0.5044,47862.0,12.3292,5.0,558.0,75,3035,0.7818,847,0.2182,452,0.1164,2613,0.6731,1654,1.9139,中国,853,0.2197,464,55
11,天津大学,4087,120,3907,60,4010,93,3861,56,2011,2025,15,267.3333,733,1202,2075,0.5175,48575.0,12.1135,5.0,399.0,76,3192,0.796,818,0.204,461,0.115,2843,0.709,1419,1.8614,中国,762,0.19,345,50
12,华东理工大学,3446,247,3031,168,3397,205,3029,163,2011,2025,15,226.4667,935,948,1514,0.4457,32295.0,9.5069,3.0,204.0,63,2582,0.7601,815,0.2399,306,0.0901,1865,0.549,949,1.6391,中国,541,0.1593,274,43
13,中国地质大学,3260,884,2153,223,3161,797,2145,219,2011,2025,15,210.7333,1206,840,1115,0.3527,33378.0,10.5593,4.0,363.0,65,2566,0.8118,595,0.1882,279,0.0883,2824,0.8934,2013,2.3113,中国,739,0.2338,395,68
14,中国矿业大学,2998,215,2673,110,2939,174,2663,102,2011,2025,15,195.9333,462,1019,1458,0.4961,29167.0,9.9241,4.0,275.0,58,2321,0.7897,618,0.2103,256,0.0871,2127,0.7237,1268,1.9314,中国,616,0.2096,266,51
15,西安交通大学,2898,44,2850,4,2887,40,2843,4,2011,2025,15,192.4667,366,783,1738,0.602,34341.0,11.895,5.0,255.0,75,2267,0.7852,620,0.2148,325,0.1126,1855,0.6425,1254,1.9251,中国,604,0.2092,402,57
16,北京化工大学,2844,316,2396,132,2763,241,2394,128,2011,2025,15,184.2,778,819,1166,0.422,31029.0,11.2302,4.0,241.0,66,2151,0.7785,612,0.2215,300,0.1086,1661,0.6012,1003,1.7032,中国,362,0.131,240,48
17,四川大学,2837,74,2725,38,2814,57,2719,38,2011,2025,15,187.6,262,640,1912,0.6795,27414.0,9.742,3.0,234.0,66,2021,0.7182,793,0.2818,254,0.0903,1715,0.6095,1099,1.8519,中国,412,0.1464,219,40
18,成都理工大学,2755,1079,794,882,2439,804,779,856,2011,2025,15,162.6,1330,560,549,0.2251,19195.0,7.87,4.0,288.0,45,1978,0.811,461,0.189,121,0.0496,1967,0.8065,1528,1.9507,中国,205,0.0841,127,35
19,上海交通大学,2721,55,2652,14,2712,48,2650,14,2011,2025,15,180.8,374,745,1593,0.5874,31749.0,11.7069,5.0,838.0,61,2134,0.7869,578,0.2131,283,0.1044,1850,0.6822,1224,2.0114,中国,571,0.2105,409,53
20,华中科技大学,2682,35,2638,9,2674,34,2631,9,2011,2025,15,178.2667,311,847,1516,0.5669,35347.0,13.2188,6.0,425.0,68,2167,0.8104,507,0.1896,354,0.1324,1855,0.6937,1071,1.8798,中国,615,0.23,331,60
21,大连理工大学,2526,162,2317,47,2475,140,2294,41,2011,2025,15,165.0,454,599,1422,0.5745,28217.0,11.4008,4.0,196.0,67,1911,0.7721,564,0.2279,269,0.1087,1494,0.6036,860,1.7202,中国,389,0.1572,218,37
22,哈尔滨工业大学,2513,48,2447,18,2420,43,2359,18,2011,2025,15,161.3333,256,699,1465,0.6054,32442.0,13.4058,6.0,178.0,69,1921,0.7938,499,0.2062,310,0.1281,1753,0.7244,1101,1.9373,中国,471,0.1946,295,52
