机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
中国石油大学（北京）,14335,5777,6362,2196
中国科学院,12890,1051,11520,319
中国石油化工股份有限公司,9862,7394,1531,937
中国石油天然气股份有限公司,9464,2635,3426,3403
西南石油大学,6488,2681,2122,1685
中国石油大学（华东）,4896,469,2631,1796
中国科学院大学,4753,8,4708,37
长江大学,4331,3168,672,491
清华大学,4212,78,4104,30
浙江大学,4145,164,3894,87
天津大学,4087,120,3907,60
华东理工大学,3446,247,3031,168
中国地质大学,3260,884,2153,223
中国矿业大学,2998,215,2673,110
西安交通大学,2898,44,2850,4
北京化工大学,2844,316,2396,132
四川大学,2837,74,2725,38
成都理工大学,2755,1079,794,882
上海交通大学,2721,55,2652,14
华中科技大学,2682,35,2638,9
大连理工大学,2526,162,2317,47
哈尔滨工业大学,2513,48,2447,18
华南理工大学,2370,83,2255,32
中国科学技术大学,2283,33,2235,15
东北石油大学,2268,979,751,538
俄罗斯科学院,2233,0,2233,0
中国石油勘探开发研究院,2003,393,37,1573
中国海洋石油有限公司,1987,352,464,1171
东南大学,1924,20,1892,12
重庆大学,1918,35,1866,17
西安石油大学,1884,1069,481,334
同济大学,1831,144,1602,85
南京工业大学,1790,141,1596,53
吉林大学,1778,210,1386,182
中南大学,1719,61,1614,44
辽宁石油化工大学,1695,1265,258,172
中国地质大学（北京）,1689,546,541,602
太原理工大学,1669,53,1569,47
山东大学,1591,40,1533,18
阿尔伯塔大学,1583,2,1573,8
北京大学,1574,228,1190,156
印度理工学院,1568,0,1568,0
江苏大学,1527,29,1474,24
湖南大学,1493,14,1473,6
北京理工大学,1422,24,1388,10
新加坡国立大学,1420,0,1420,0
得克萨斯大学奥斯汀分校,1363,5,1349,9
青岛科技大学,1356,222,969,165
南京大学,1335,69,1198,68
卡尔加里大学,1322,2,1310,10
郑州大学,1287,60,1209,18
中山大学,1253,58,1164,31
得克萨斯农工大学,1246,0,1239,7
帝国理工学院,1242,1,1240,1
华北电力大学,1212,12,1198,2
西北大学,1185,333,688,164
丹麦技术大学,1154,0,1154,0
北京科技大学,1136,79,1021,36
中国石油天然气集团有限公司,1130,52,905,173
山东科技大学,1108,93,938,77
香港理工大学,1072,1,1070,1
南京理工大学,1043,36,958,49
浙江工业大学,1035,44,965,26
广东工业大学,1020,9,1004,7
厦门大学,1004,19,981,4
南京林业大学,984,5,975,4
常州大学,954,217,641,96
中国教育部,948,0,948,0
南洋理工大学,936,0,936,0
法赫德国王石油与矿业大学,928,0,923,5
福州大学,925,28,883,14
武汉大学,922,63,840,19
中海油研究总院,918,685,158,75
挪威科技大学,913,0,913,0
广西大学,911,20,883,8
河北工业大学,910,106,738,66
宾夕法尼亚州立大学,900,4,896,0
代尔夫特理工大学,899,0,897,2
科廷大学,899,0,893,6
伊斯兰阿扎德大学,892,1,889,2
南开大学,885,19,860,6
昆明理工大学,882,18,848,16
昆士兰大学,864,1,863,0
武汉理工大学,852,24,817,11
高丽大学,827,2,825,0
东北大学（美国）,814,6,798,10
蒙纳士大学,812,0,811,1
