TOPSIS综合排名,标准化机构名称,TOPSIS综合得分,机构层级,机构类型,分类依据,是否建议人工复核
1,中国科学院,0.794589,头部引领型,高校/科研院所,高校强特征:学院,0
2,中国石油大学（北京）,0.756583,头部引领型,高校/科研院所,高校强特征:大学,0
3,中国石油化工股份有限公司,0.557167,头部引领型,企业研发机构,企业标记:中国石油,0
4,中国石油天然气股份有限公司,0.544627,头部引领型,企业研发机构,企业标记:中国石油,0
5,西南石油大学,0.384789,头部引领型,高校/科研院所,高校强特征:大学,0
6,中国科学院大学,0.348287,头部引领型,高校/科研院所,高校强特征:大学,0
7,中国石油大学（华东）,0.333751,头部引领型,高校/科研院所,高校强特征:大学,0
8,清华大学,0.323389,头部引领型,高校/科研院所,高校强特征:大学,0
9,天津大学,0.300642,头部引领型,高校/科研院所,高校强特征:大学,0
10,浙江大学,0.295664,头部引领型,高校/科研院所,高校强特征:大学,0
11,新加坡国立大学,0.270281,头部引领型,高校/科研院所,高校强特征:大学,0
12,南洋理工大学,0.261355,头部引领型,高校/科研院所,高校强特征:大学,0
13,帝国理工学院,0.253925,头部引领型,高校/科研院所,高校强特征:学院,0
14,昆士兰大学,0.246923,头部引领型,高校/科研院所,高校强特征:大学,0
15,中国地质大学,0.246179,头部引领型,高校/科研院所,高校强特征:大学,0
16,华东理工大学,0.245435,头部引领型,高校/科研院所,高校强特征:大学,0
17,长江大学,0.243647,头部引领型,高校/科研院所,高校强特征:大学,0
18,西安交通大学,0.243426,头部引领型,高校/科研院所,高校强特征:大学,0
19,蒙纳士大学,0.241938,头部引领型,高校/科研院所,高校强特征:大学,0
20,科廷大学,0.238159,头部引领型,高校/科研院所,高校强特征:大学,0
21,丹麦技术大学,0.237178,中坚创新型,高校/科研院所,高校强特征:大学,0
22,华中科技大学,0.235754,中坚创新型,高校/科研院所,高校强特征:大学,0
23,代尔夫特理工大学,0.228263,中坚创新型,高校/科研院所,高校强特征:大学,0
24,中国矿业大学,0.227362,中坚创新型,高校/科研院所,高校强特征:大学,0
25,四川大学,0.226929,中坚创新型,高校/科研院所,高校强特征:大学,0
26,华南理工大学,0.226791,中坚创新型,高校/科研院所,高校强特征:大学,0
27,上海交通大学,0.225951,中坚创新型,高校/科研院所,高校强特征:大学,0
28,湖南大学,0.222215,中坚创新型,高校/科研院所,高校强特征:大学,0
29,新南威尔士大学,0.221433,中坚创新型,高校/科研院所,高校强特征:大学,0
30,中国科学技术大学,0.22084,中坚创新型,高校/科研院所,高校强特征:大学,0
31,哈尔滨工业大学,0.219576,中坚创新型,高校/科研院所,高校强特征:大学,0
32,挪威科技大学,0.214284,中坚创新型,高校/科研院所,高校强特征:大学,0
33,佐治亚理工学院,0.212063,中坚创新型,高校/科研院所,高校强特征:学院,0
34,阿尔伯塔大学,0.211612,中坚创新型,高校/科研院所,高校强特征:大学,0
35,北京化工大学,0.211219,中坚创新型,高校/科研院所,高校强特征:大学,0
36,法赫德国王石油与矿业大学,0.210475,中坚创新型,高校/科研院所,高校强特征:大学,0
37,宾夕法尼亚州立大学,0.207586,中坚创新型,高校/科研院所,高校强特征:大学,0
38,卡尔加里大学,0.206955,中坚创新型,高校/科研院所,高校强特征:大学,0
39,香港城市大学,0.206463,中坚创新型,高校/科研院所,高校强特征:大学,0
40,大连理工大学,0.20519,中坚创新型,高校/科研院所,高校强特征:大学,0
41,江苏大学,0.205045,中坚创新型,高校/科研院所,高校强特征:大学,0
42,亚琛工业大学,0.198257,中坚创新型,高校/科研院所,高校强特征:大学,0
43,香港理工大学,0.196841,中坚创新型,高校/科研院所,高校强特征:大学,0
44,同济大学,0.196515,中坚创新型,高校/科研院所,高校强特征:大学,0
45,南京林业大学,0.195877,中坚创新型,高校/科研院所,高校强特征:大学,0
46,东南大学,0.194724,中坚创新型,高校/科研院所,高校强特征:大学,0
47,重庆大学,0.193274,中坚创新型,高校/科研院所,高校强特征:大学,0
48,高丽大学,0.192812,中坚创新型,高校/科研院所,高校强特征:大学,0
49,华北电力大学,0.189388,中坚创新型,高校/科研院所,高校强特征:大学,0
50,深圳大学,0.189332,中坚创新型,高校/科研院所,高校强特征:大学,0
51,中南大学,0.188682,特色细分型,高校/科研院所,高校强特征:大学,0
52,得克萨斯大学奥斯汀分校,0.188154,特色细分型,高校/科研院所,高校强特征:大学,0
53,北京理工大学,0.187265,特色细分型,高校/科研院所,高校强特征:大学,0
54,得克萨斯农工大学,0.185409,特色细分型,高校/科研院所,高校强特征:大学,0
55,印度理工学院,0.184461,特色细分型,高校/科研院所,高校强特征:学院,0
56,郑州大学,0.184216,特色细分型,高校/科研院所,高校强特征:大学,0
57,武汉理工大学,0.18037,特色细分型,高校/科研院所,高校强特征:大学,0
58,南开大学,0.178668,特色细分型,高校/科研院所,高校强特征:大学,0
59,山东大学,0.17854,特色细分型,高校/科研院所,高校强特征:大学,0
60,南京大学,0.177993,特色细分型,高校/科研院所,高校强特征:大学,0
61,伊斯兰阿扎德大学,0.174678,特色细分型,高校/科研院所,高校强特征:大学,0
62,苏州大学,0.174095,特色细分型,高校/科研院所,高校强特征:大学,0
63,厦门大学,0.171259,特色细分型,高校/科研院所,高校强特征:大学,0
64,广东工业大学,0.170454,特色细分型,高校/科研院所,高校强特征:大学,0
65,东华大学,0.169462,特色细分型,高校/科研院所,高校强特征:大学,0
66,北京大学,0.16806,特色细分型,高校/科研院所,高校强特征:大学,0
67,广西大学,0.167889,特色细分型,高校/科研院所,高校强特征:大学,0
68,南京工业大学,0.166084,特色细分型,高校/科研院所,高校强特征:大学,0
69,德黑兰大学,0.163835,特色细分型,高校/科研院所,高校强特征:大学,0
70,上海大学,0.16366,特色细分型,高校/科研院所,高校强特征:大学,0
71,中山大学,0.163561,特色细分型,高校/科研院所,高校强特征:大学,0
72,东北大学（美国）,0.161678,特色细分型,高校/科研院所,高校强特征:大学,0
73,俄罗斯科学院,0.161565,特色细分型,高校/科研院所,高校强特征:学院,0
74,太原理工大学,0.161559,特色细分型,高校/科研院所,高校强特征:大学,0
75,中国教育部,0.161224,特色细分型,政府机构,政府机构特例:教育部,0
76,福州大学,0.161143,特色细分型,高校/科研院所,高校强特征:大学,0
77,吉林大学,0.160376,特色细分型,高校/科研院所,高校强特征:大学,0
78,武汉大学,0.157911,特色细分型,高校/科研院所,高校强特征:大学,0
79,浙江工业大学,0.157099,特色细分型,高校/科研院所,高校强特征:大学,0
80,成都理工大学,0.156723,特色细分型,高校/科研院所,高校强特征:大学,0
81,北京工业大学,0.156694,特色细分型,高校/科研院所,高校强特征:大学,0
82,江南大学,0.156501,特色细分型,高校/科研院所,高校强特征:大学,0
83,北京科技大学,0.155937,特色细分型,高校/科研院所,高校强特征:大学,0
84,南京理工大学,0.14605,特色细分型,高校/科研院所,高校强特征:大学,0
85,中国矿业大学（北京）,0.140474,特色细分型,高校/科研院所,高校强特征:大学,0
86,昆明理工大学,0.139411,特色细分型,高校/科研院所,高校强特征:大学,0
87,山东科技大学,0.135243,特色细分型,高校/科研院所,高校强特征:大学,0
88,东北石油大学,0.130378,特色细分型,高校/科研院所,高校强特征:大学,0
89,西北大学,0.130374,特色细分型,高校/科研院所,高校强特征:大学,0
90,河北工业大学,0.128298,特色细分型,高校/科研院所,高校强特征:大学,0
91,河南理工大学,0.127187,特色细分型,高校/科研院所,高校强特征:大学,0
92,青岛科技大学,0.126373,特色细分型,高校/科研院所,高校强特征:大学,0
93,中国石油勘探开发研究院,0.120096,特色细分型,企业研发机构,企业标记:中国石油,0
94,中国地质大学（北京）,0.118802,特色细分型,高校/科研院所,高校强特征:大学,0
95,常州大学,0.115668,特色细分型,高校/科研院所,高校强特征:大学,0
96,中国石油天然气集团有限公司,0.115369,特色细分型,企业研发机构,企业标记:中国石油,0
97,中国海洋石油有限公司,0.098101,特色细分型,企业研发机构,企业关键词:公司,0
98,西安石油大学,0.096376,特色细分型,高校/科研院所,高校强特征:大学,0
99,辽宁石油化工大学,0.069933,特色细分型,高校/科研院所,高校强特征:大学,0
100,中海油研究总院,0.047896,特色细分型,企业研发机构,企业标记:中海油,0
