阶段,主题编号,主题标签,主题强度,平均主题概率,关键词排名,关键词,词项概率
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,1,二氧化碳,0.01953
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,2,实验,0.011837
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,3,注入,0.009164
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,4,模拟,0.00875
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,5,地层,0.008387
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,6,燃烧,0.007779
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,7,方程,0.007375
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,8,液相,0.0062
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,9,蒸汽,0.005902
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,10,颗粒,0.00545
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,11,数值,0.004853
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,0.081834,12,采收率,0.004634
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,1,储层,0.083167
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,2,孔隙,0.033554
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,3,渗透率,0.029243
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,4,裂缝,0.027702
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,5,孔隙度,0.019894
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,6,砂岩,0.014111
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,7,岩石,0.013289
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,8,地层,0.012692
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,9,特征,0.009917
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,10,岩心,0.008515
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,11,页岩,0.008034
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,0.094354,12,致密,0.007885
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,1,油田,0.019215
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,2,钻井,0.016256
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,3,储层,0.011136
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,4,地层,0.010812
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,5,应用,0.010478
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,6,油藏,0.01025
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,7,提高,0.009825
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,8,效果,0.008256
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,9,测井,0.008025
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,10,影响,0.007883
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,11,水力压裂,0.007629
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139622,0.130021,12,水平井,0.007205
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,1,钻井,0.03513
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,2,裂缝,0.016013
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,3,水平,0.013444
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,4,水力压裂,0.01056
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,5,应力,0.00949
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,6,地层,0.009208
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,7,井筒,0.009152
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,8,设计,0.008128
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,9,套管,0.007949
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,10,井眼,0.007646
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,11,水平井,0.005671
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,0.096872,12,钻头,0.005287
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,1,产品,0.014772
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,2,催化剂,0.014166
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,3,收率,0.011986
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,4,unit,0.010815
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,5,汽油,0.01001
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,6,柴油,0.009943
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,7,油品,0.009525
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,8,比值,0.009162
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,9,热解,0.008283
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,10,炼油,0.008179
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,11,fcc,0.008072
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,0.063829,12,组成,0.007434
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,1,水合物,0.030443
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,2,地层,0.019488
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,3,颗粒,0.01144
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,4,浓度,0.009282
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,5,钻井液,0.009249
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,6,实验,0.008057
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,7,沥青质,0.008033
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,8,黏度,0.006521
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,9,salt,0.0065
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,10,水泥,0.006352
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,11,稳定性,0.006311
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,0.05611,12,表面活性剂,0.006245
2011-2015,T07,地震 / 速度 / 频率 / 反演,0.05545,0.058297,1,地震,0.040957
