左阶段,左主题编号,右阶段,右主题编号,主题相似度,纳入演化路径
2011-2015,T01,2016-2020,T10,0.70287,1
2011-2015,T02,2016-2020,T03,0.659066,1
2011-2015,T03,2016-2020,T05,0.047454,0
2011-2015,T04,2016-2020,T04,0.741769,1
2011-2015,T05,2016-2020,T11,0.60032,1
2011-2015,T06,2016-2020,T08,0.705963,1
2011-2015,T07,2016-2020,T12,0.88649,1
2011-2015,T08,2016-2020,T01,0.578192,1
2011-2015,T09,2016-2020,T09,0.703494,1
2011-2015,T10,2016-2020,T02,0.774117,1
2011-2015,T11,2016-2020,T07,0.481772,1
2011-2015,T12,2016-2020,T06,0.83649,1
2016-2020,T01,2021-2025,T07,0.694806,1
2016-2020,T02,2021-2025,T08,0.889998,1
2016-2020,T03,2021-2025,T03,0.88628,1
2016-2020,T04,2021-2025,T01,0.360411,1
2016-2020,T05,2021-2025,T05,0.816239,1
2016-2020,T06,2021-2025,T09,0.889783,1
2016-2020,T08,2021-2025,T04,0.649905,1
2016-2020,T10,2021-2025,T10,0.395473,1
2016-2020,T11,2021-2025,T02,0.87819,1
2016-2020,T12,2021-2025,T06,0.662842,1
