演化路径编号,2011-2015主题编号,2011-2015主题标签,2011-2015主题强度,2016-2020主题编号,2016-2020主题标签,2016-2020主题强度,2021-2025主题编号,2021-2025主题标签,2021-2025主题强度
P01,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,T05,颗粒 / 燃烧 / 灰分 / 实验,0.080146,T05,燃烧 / 采收率 / 注入 / 表面活性剂,0.073956
P02,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.077995,T03,页岩 / 孔隙 / 储层 / 岩石,0.053454
P03,T03,油田 / 钻井 / 储层 / 地层,0.139553,,,,,,
P04,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,T04,钻井 / 水力压裂 / 储层 / 凝胶,0.07803,T01,构造 / 复合材料 / 材料 / 强度,0.073989
P05,T05,催化剂 / 地层 / 产品 / 收率,0.13467,T06,催化剂 / 构造 / 活性 / 催化,0.129808,T09,催化剂 / 催化 / 活性 / 位点,0.104373
P06,T06,水合物 / 地层 / 颗粒 / 浓度,0.070029,T08,水合物 / 甲烷 / 吸附 / 实验,0.057187,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,0.081561
P07,T07,速度 / 地震 / 频率 / 运移,0.036149,,,,,,
P08,T08,地震 / 储层 / 测井 / 预测,0.078143,T01,储层 / 裂缝 / 地震 / 应力,0.184671,T06,储层 / 钻井 / 预测 / 地震,0.163121
P09,T09,盆地 / 地层 / 构造 / 断层,0.150602,T02,断层 / 盆地 / 构造 / 储层,0.088122,T08,盆地 / 断层 / 构造 / 储层,0.086245
P10,T10,页岩 / 页岩气 / 勘探 / 成藏,0.043713,T07,岩石 / 表面活性剂 / 样品 / 润湿性,0.040922,,,
P11,T11,储层 / 驱替 / 注入 / 采收率,0.077226,T10,二氧化碳 / 采收率 / 注入 / 驱替,0.081186,T10,二氧化碳 / 储存 / 密度 / 构造,0.081496
P12,,,,T09,储层 / 沉积 / 碳酸盐岩 / 盆地,0.080805,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,0.095903
P13,,,,T11,产品 / 热解 / 收率 / 化合物,0.101127,T02,产品 / 热解 / 收率 / 化学,0.122277
P14,,,,,,,T11,效率 / 电子 / 机理,0.063625
