阶段,主题编号,主题标签,主题强度,平均主题概率,关键词排名,关键词,词项概率
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,1,二氧化碳,0.017407
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,2,实验,0.01035
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,3,模拟,0.008659
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,4,储层,0.008654
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,5,方程,0.00757
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,6,地层,0.00692
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,7,注入,0.006294
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,8,渗透率,0.006083
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,9,燃烧,0.006006
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,10,液相,0.00509
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,11,数值,0.004707
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,0.087289,0.089794,12,gradient,0.004124
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,1,储层,0.083122
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,2,孔隙,0.040786
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,3,渗透率,0.02836
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,4,孔隙度,0.02352
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,5,岩石,0.019225
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,6,地层,0.017448
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,7,砂岩,0.017318
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,8,裂缝,0.013624
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,9,页岩,0.011482
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,10,岩心,0.010496
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,11,特征,0.009778
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,0.07106,0.078114,12,致密,0.008309
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,1,油田,0.019196
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,2,钻井,0.01626
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,3,储层,0.011008
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,4,地层,0.010841
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,5,应用,0.010476
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,6,油藏,0.010248
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,7,提高,0.009823
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,8,效果,0.008255
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,9,测井,0.008007
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,10,影响,0.007882
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,11,水力压裂,0.007702
2011-2015,T03,油田 / 钻井 / 储层 / 地层,0.139553,0.130247,12,水平井,0.007197
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,1,钻井,0.033998
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,2,裂缝,0.030091
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,3,水力压裂,0.014236
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,4,水平,0.013196
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,5,应力,0.010376
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,6,地层,0.009396
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,7,井筒,0.008502
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,8,设计,0.007877
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,9,套管,0.007387
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,10,井眼,0.00725
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,11,储层,0.006164
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,0.111564,0.103709,12,钻井液,0.005782
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,1,催化剂,0.022567
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,2,地层,0.012261
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,3,产品,0.010535
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,4,收率,0.007586
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,5,比值,0.006905
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,6,活性,0.006177
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,0.13467,0.127182,7,转化,0.00593
