阶段,候选主题数,样本文献数,词汇表规模,困惑度,一致性得分,困惑度排名,一致性排名,综合排序值,是否选中
2011-2015,6,20000,5000,1262.455166,0.135814,7,6,13,0
2011-2015,7,20000,5000,1242.997003,0.128371,6,7,13,0
2011-2015,8,20000,5000,1207.719879,0.137214,5,5,10,0
2011-2015,9,20000,5000,1200.9542,0.137973,4,4,8,0
2011-2015,10,20000,5000,1174.862276,0.155288,3,2,5,0
2011-2015,11,20000,5000,1167.005819,0.155015,2,3,5,0
2011-2015,12,20000,5000,1158.148282,0.168499,1,1,2,1
2016-2020,6,20000,5000,1539.623403,0.131758,7,7,14,0
2016-2020,7,20000,5000,1502.089515,0.141427,6,6,12,0
2016-2020,8,20000,5000,1469.8281,0.165315,5,4,9,0
2016-2020,9,20000,5000,1433.85452,0.172792,4,2,6,0
2016-2020,10,20000,5000,1405.459584,0.176611,2,1,3,1
2016-2020,11,20000,5000,1424.418835,0.16546,3,3,6,0
2016-2020,12,20000,5000,1376.513528,0.162038,1,5,6,0
2021-2025,6,20000,5000,1709.546596,0.140507,7,7,14,0
2021-2025,7,20000,5000,1684.046034,0.143581,6,6,12,0
2021-2025,8,20000,5000,1620.866389,0.155022,5,5,10,0
2021-2025,9,20000,5000,1605.531163,0.166363,4,3,7,0
2021-2025,10,20000,5000,1582.217112,0.173417,3,2,5,0
2021-2025,11,20000,5000,1566.144421,0.23855,2,1,3,1
2021-2025,12,20000,5000,1545.426509,0.157695,1,4,5,0
