阶段,主题编号,主题标签,主题文献数,阶段文献总数,主题强度,平均主题概率,代表关键词
2011-2015,T01,钻井 / 水力压裂 / 地层 / 水平,4651,43672,0.106498,0.095739,钻井 | 水力压裂 | 地层 | 水平 | 钻井液 | 井筒 | 应力 | 裂缝 | 套管 | 井眼 | 设计 | 泥浆
2011-2015,T02,沉积 / 水合物 / 储层 / 地层,2277,43672,0.052139,0.057465,沉积 | 水合物 | 储层 | 地层 | 河道 | 砂体 | 层序 | 三角洲 | 测井 | 地震 | 层段
2011-2015,T03,油田 / 钻井 / 地层 / 储层,6089,43672,0.139426,0.128841,油田 | 钻井 | 地层 | 储层 | 应用 | 油藏 | 提高 | 效果 | 影响 | 测井 | 水力压裂 | 水平井
2011-2015,T04,地震 / 频率 / 速度 / 模拟,3348,43672,0.076662,0.081396,地震 | 频率 | 速度 | 模拟 | 处理 | 噪声 | 反演 | 算法 | 振幅 | 信息 | 成像
2011-2015,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,1787,43672,0.040919,0.044521,储层 | 孔隙 | 地层 | 碳酸盐岩 | 矿物 | 孔隙度 | 白云岩 | 溶解 | 砂岩 | 成岩 | 黏土
2011-2015,T06,储层 / 页岩 / 页岩气 / 勘探,2099,43672,0.048063,0.060882,储层 | 页岩 | 页岩气 | 勘探 | 评价 | 油田 | 储量 | 资源 | 盆地 | 区块
2011-2015,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,7203,43672,0.164934,0.151027,地层 | 催化剂 | 二氧化碳 | 颗粒 | 浓度 | 产品 | 甲烷 | 燃烧 | 样品 | 构造
2011-2015,T08,储层 / 渗透率 / 孔隙 / 孔隙度,3981,43672,0.091157,0.091488,储层 | 渗透率 | 孔隙 | 孔隙度 | 饱和度 | 裂缝 | 方程 | 产能 | 地层 | 岩心
2011-2015,T09,盆地 / 构造 / 断层 / 地层,5137,43672,0.117627,0.109503,盆地 | 构造 | 断层 | 地层 | 成藏 | 储层 | 区带 | 凹陷 | 运移 | 勘探
2011-2015,T10,装置 / 催化剂 / 汽油 / 产品,2225,43672,0.050948,0.056487,装置 | 催化剂 | 汽油 | 产品 | 柴油 | 炼油 | 催化裂化 | 收率 | 成本 | 稠油 | 消耗 | 设计
2011-2015,T11,注入 / 驱替 / 采收率 / 聚合物,3438,43672,0.078723,0.079651,注入 | 驱替 | 采收率 | 聚合物 | 黏度 | 储层 | 二氧化碳 | 表面活性剂 | 蒸汽 | 渗透率 | 泡沫
2011-2015,T12,裂缝 / 储层 / 砂体 / 预测,1437,43672,0.032904,0.042999,裂缝 | 储层 | 砂体 | 预测 | 地震 | 测井 | 碳酸盐岩 | 反演 | 水泥
2016-2020,T01,孔隙 / 二氧化碳 / 储层 / 页岩,2445,28872,0.084684,0.087802,孔隙 | 二氧化碳 | 储层 | 页岩 | 渗透率 | 吸附 | 孔隙度 | 样品 | 甲烷 | 矿物 | 岩心
2016-2020,T02,裂缝 / 地震 / 应力 / 速度,3444,28872,0.119285,0.121183,裂缝 | 地震 | 应力 | 速度 | 频率 | 反演 | 水力压裂 | 储层 | 预测 | 水力 | 构造
2016-2020,T03,催化剂 / 产品 / 构造 / 催化,5856,28872,0.202826,0.183589,催化剂 | 产品 | 构造 | 催化 | 二氧化碳 | 收率 | 转化 | 金属 | 活性 | 热解 | 氧化 | 选择性
2016-2020,T04,页岩 / 有机质 / 盆地 / 样品,1676,28872,0.058049,0.061362,页岩 | 有机质 | 盆地 | 样品 | 成熟度 | 总有机碳 | 热采 | 生成 | 干酪根 | 富集 | 页岩油
2016-2020,T05,水合物 / 甲烷 / 沥青质 / 液相,3993,28872,0.1383,0.133533,水合物 | 甲烷 | 沥青质 | 液相 | 燃烧 | 二氧化碳 | 柴油 | 模拟 | 产品 | 浓度 | 反应器
2016-2020,T06,储层 / 注入 / 钻井 / 渗透率,3579,28872,0.123961,0.122459,储层 | 注入 | 钻井 | 渗透率 | 驱替 | 采收率 | 水平 | 油田 | 水力压裂 | 页岩气 | 蒸汽 | 评价
2016-2020,T07,盆地 / 断层 / 构造 / 区带,2426,28872,0.084026,0.086507,盆地 | 断层 | 构造 | 区带 | 储层 | 成藏 | 勘探 | 地震 | 运移 | 演化
2016-2020,T08,储层 / 沉积 / 砂岩 / 砂体,2164,28872,0.074952,0.078754,储层 | 沉积 | 砂岩 | 砂体 | 河道 | 测井 | 盆地 | 碳酸盐岩 | 层序 | 层段
2016-2020,T09,颗粒 / 灰分 / 燃烧 / 三角洲,945,28872,0.032731,0.042269,颗粒 | 灰分 | 燃烧 | 三角洲 | 白云岩 | 钙 | 气化 | 样品 | 炭 | 矿物 | 组成
2016-2020,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,2344,28872,0.081186,0.082543,表面活性剂 | 聚合物 | 黏度 | 浓度 | 采收率 | 凝胶 | 泡沫 | 驱替 | 界面 | 稳定性 | 提高采收率 | 水力压裂
2021-2025,T01,构造 / 离子 / 材料 / 稳定性,4444,31224,0.142326,0.131341,构造 | 离子 | 材料 | 稳定性 | 复合材料 | 电解质 | 策略 | 密度 | 聚合物 | 电池 | 水凝胶
2021-2025,T02,孔隙 / 页岩 / 储层 / 渗透率,2725,31224,0.087273,0.089578,孔隙 | 页岩 | 储层 | 渗透率 | 裂缝 | 样品 | 吸附 | 孔隙度 | 矿物 | 构造
2021-2025,T03,吸附 / 官能团 / 构造 / 降解,2339,31224,0.07491,0.083485,吸附 | 官能团 | 构造 | 降解 | 去除 | 分子 | 氧化 | 光谱 | 电子 | 芳香族
2021-2025,T04,燃烧 / 氨 / 火焰 / 颗粒,1474,31224,0.047207,0.050627,燃烧 | 氨 | 火焰 | 颗粒 | 烟炱 | 空气 | 排放 | 氮氧化物 | 浓度
2021-2025,T05,盆地 / 储层 / 断层 / 构造,3131,31224,0.100275,0.096686,盆地 | 储层 | 断层 | 构造 | 沉积 | 碳酸盐岩 | 区带 | 勘探 | 成藏 | 三角洲
2021-2025,T06,钻井 / 裂缝 / 水力压裂 / 应力,2261,31224,0.072412,0.074297,钻井 | 裂缝 | 水力压裂 | 应力 | 颗粒 | 井筒 | 强度 | 液相 | 损害 | 封堵
2021-2025,T07,储层 / 地震 / 模拟 / 裂缝,4038,31224,0.129324,0.129319,储层 | 地震 | 模拟 | 裂缝 | 预测 | 准确率 | 网络 | 优化 | 算法
2021-2025,T08,热解 / 产品 / 收率 / 生物质,2736,31224,0.087625,0.092266,热解 | 产品 | 收率 | 生物质 | 二氧化碳 | 化学 | 转化 | 废弃物 | 化合物 | 溶剂 | 反应器 | 木质素
2021-2025,T09,水合物 / 二氧化碳 / 甲烷 / 储存,1500,31224,0.04804,0.049191,水合物 | 二氧化碳 | 甲烷 | 储存 | 生长 | 分解 | 浓度 | 动力学 | 沉积物 | 蜡 | 成核
