阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,钻井 / 水力压裂 / 地层 / 水平,1815,13957,0.130042
2011-2015,头部引领型,T02,沉积 / 水合物 / 储层 / 地层,813,13957,0.05825
2011-2015,头部引领型,T03,油田 / 钻井 / 地层 / 储层,566,13957,0.040553
2011-2015,头部引领型,T04,地震 / 频率 / 速度 / 模拟,1275,13957,0.091352
2011-2015,头部引领型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,685,13957,0.049079
2011-2015,头部引领型,T06,储层 / 页岩 / 页岩气 / 勘探,810,13957,0.058035
2011-2015,头部引领型,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,1326,13957,0.095006
2011-2015,头部引领型,T08,储层 / 渗透率 / 孔隙 / 孔隙度,1790,13957,0.128251
2011-2015,头部引领型,T09,盆地 / 构造 / 断层 / 地层,2209,13957,0.158272
2011-2015,头部引领型,T10,装置 / 催化剂 / 汽油 / 产品,631,13957,0.04521
2011-2015,头部引领型,T11,注入 / 驱替 / 采收率 / 聚合物,1380,13957,0.098875
2011-2015,头部引领型,T12,裂缝 / 储层 / 砂体 / 预测,657,13957,0.047073
2011-2015,中坚创新型,T01,钻井 / 水力压裂 / 地层 / 水平,57,1807,0.031544
2011-2015,中坚创新型,T02,沉积 / 水合物 / 储层 / 地层,41,1807,0.02269
2011-2015,中坚创新型,T03,油田 / 钻井 / 地层 / 储层,3,1807,0.00166
2011-2015,中坚创新型,T04,地震 / 频率 / 速度 / 模拟,171,1807,0.094632
2011-2015,中坚创新型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,44,1807,0.02435
2011-2015,中坚创新型,T06,储层 / 页岩 / 页岩气 / 勘探,53,1807,0.02933
2011-2015,中坚创新型,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,923,1807,0.510791
2011-2015,中坚创新型,T08,储层 / 渗透率 / 孔隙 / 孔隙度,212,1807,0.117322
2011-2015,中坚创新型,T09,盆地 / 构造 / 断层 / 地层,98,1807,0.054234
2011-2015,中坚创新型,T10,装置 / 催化剂 / 汽油 / 产品,73,1807,0.040398
2011-2015,中坚创新型,T11,注入 / 驱替 / 采收率 / 聚合物,121,1807,0.066962
2011-2015,中坚创新型,T12,裂缝 / 储层 / 砂体 / 预测,11,1807,0.006087
2011-2015,特色细分型,T01,钻井 / 水力压裂 / 地层 / 水平,413,6025,0.068548
2011-2015,特色细分型,T02,沉积 / 水合物 / 储层 / 地层,523,6025,0.086805
2011-2015,特色细分型,T03,油田 / 钻井 / 地层 / 储层,317,6025,0.052614
2011-2015,特色细分型,T04,地震 / 频率 / 速度 / 模拟,579,6025,0.0961
2011-2015,特色细分型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,496,6025,0.082324
