阶段,阶段内主题强度排序,主题编号,主题标签,主题强度,主题文献数,阶段文献总数,平均主题概率,代表关键词
2011-2015,1,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,0.164934,7203,43672,0.151027,地层 | 催化剂 | 二氧化碳 | 颗粒 | 浓度 | 产品 | 甲烷 | 燃烧
2011-2015,2,T03,油田 / 钻井 / 地层 / 储层,0.139426,6089,43672,0.128841,油田 | 钻井 | 地层 | 储层 | 应用 | 油藏 | 提高 | 效果
2011-2015,3,T09,盆地 / 构造 / 断层 / 地层,0.117627,5137,43672,0.109503,盆地 | 构造 | 断层 | 地层 | 成藏 | 储层 | 区带 | 凹陷
2011-2015,4,T01,钻井 / 水力压裂 / 地层 / 水平,0.106498,4651,43672,0.095739,钻井 | 水力压裂 | 地层 | 水平 | 钻井液 | 井筒 | 应力 | 裂缝
2011-2015,5,T08,储层 / 渗透率 / 孔隙 / 孔隙度,0.091157,3981,43672,0.091488,储层 | 渗透率 | 孔隙 | 孔隙度 | 饱和度 | 裂缝 | 方程 | 产能
2011-2015,6,T11,注入 / 驱替 / 采收率 / 聚合物,0.078723,3438,43672,0.079651,注入 | 驱替 | 采收率 | 聚合物 | 黏度 | 储层 | 二氧化碳 | 表面活性剂
2011-2015,7,T04,地震 / 频率 / 速度 / 处理,0.076662,3348,43672,0.081396,地震 | 频率 | 速度 | 处理 | 噪声 | 反演 | 振幅 | 模拟
2011-2015,8,T02,沉积 / 水合物 / 储层 / 地层,0.052139,2277,43672,0.057465,沉积 | 水合物 | 储层 | 地层 | 河道 | 砂体 | 层序 | 三角洲
2011-2015,9,T10,催化剂 / 汽油 / 产品 / 柴油,0.050948,2225,43672,0.056487,催化剂 | 汽油 | 产品 | 柴油 | 炼油 | 收率 | 成本 | 稠油
2011-2015,10,T06,储层 / 页岩 / 页岩气 / 勘探,0.048063,2099,43672,0.060882,储层 | 页岩 | 页岩气 | 勘探 | 评价 | 油田 | 储量 | 资源
2011-2015,11,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,0.040919,1787,43672,0.044521,储层 | 孔隙 | 地层 | 碳酸盐岩 | 矿物 | 孔隙度 | 白云岩 | 溶解
2011-2015,12,T12,裂缝 / 储层 / 砂体 / 预测,0.032904,1437,43672,0.042999,裂缝 | 储层 | 砂体 | 预测 | 地震 | 测井 | 碳酸盐岩 | 反演
2016-2020,1,T03,催化剂 / 产品 / 构造 / 催化,0.202826,5856,28872,0.183589,催化剂 | 产品 | 构造 | 催化 | 二氧化碳 | 收率 | 转化 | 金属
2016-2020,2,T05,水合物 / 甲烷 / 沥青质 / 液相,0.1383,3993,28872,0.133533,水合物 | 甲烷 | 沥青质 | 液相 | 燃烧 | 二氧化碳 | 柴油 | 模拟
2016-2020,3,T06,储层 / 注入 / 钻井 / 渗透率,0.123961,3579,28872,0.122459,储层 | 注入 | 钻井 | 渗透率 | 驱替 | 采收率 | 水平 | 油田
2016-2020,4,T02,裂缝 / 地震 / 应力 / 速度,0.119285,3444,28872,0.121183,裂缝 | 地震 | 应力 | 速度 | 频率 | 反演 | 水力压裂 | 储层
2016-2020,5,T01,孔隙 / 二氧化碳 / 储层 / 页岩,0.084684,2445,28872,0.087802,孔隙 | 二氧化碳 | 储层 | 页岩 | 渗透率 | 吸附 | 孔隙度 | 样品
2016-2020,6,T07,盆地 / 断层 / 构造 / 区带,0.084026,2426,28872,0.086507,盆地 | 断层 | 构造 | 区带 | 储层 | 成藏 | 勘探 | 地震
2016-2020,7,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,0.081186,2344,28872,0.082543,表面活性剂 | 聚合物 | 黏度 | 浓度 | 采收率 | 凝胶 | 泡沫 | 驱替
2016-2020,8,T08,储层 / 沉积 / 砂岩 / 砂体,0.074952,2164,28872,0.078754,储层 | 沉积 | 砂岩 | 砂体 | 河道 | 测井 | 盆地 | 碳酸盐岩
2016-2020,9,T04,页岩 / 有机质 / 盆地 / 样品,0.058049,1676,28872,0.061362,页岩 | 有机质 | 盆地 | 样品 | 成熟度 | 热采 | 生成 | 干酪根
2016-2020,10,T09,颗粒 / 灰分 / 燃烧 / 三角洲,0.032731,945,28872,0.042269,颗粒 | 灰分 | 燃烧 | 三角洲 | 白云岩 | 气化 | 样品 | 矿物
2021-2025,1,T01,构造 / 离子 / 材料 / 稳定性,0.142326,4444,31224,0.131341,构造 | 离子 | 材料 | 稳定性 | 复合材料 | 电解质 | 密度 | 聚合物
2021-2025,2,T07,储层 / 地震 / 裂缝 / 预测,0.129324,4038,31224,0.129319,储层 | 地震 | 裂缝 | 预测 | 准确率 | 网络 | 优化 | 模拟
