阶段,机构类型,主题编号,主题标签,主题论文数,机构类型文献总数,主题占比
2011-2015,高校/科研院所,T01,二氧化碳 / 实验 / 模拟 / 储层,3129,26345,0.11877
2011-2015,高校/科研院所,T02,储层 / 孔隙 / 渗透率 / 孔隙度,2254,26345,0.085557
2011-2015,高校/科研院所,T03,油田 / 钻井 / 储层 / 地层,1174,26345,0.044563
2011-2015,高校/科研院所,T04,钻井 / 裂缝 / 水力压裂 / 水平,2466,26345,0.093604
2011-2015,高校/科研院所,T05,催化剂 / 地层 / 产品 / 收率,4300,26345,0.163219
2011-2015,高校/科研院所,T06,水合物 / 地层 / 颗粒 / 浓度,2493,26345,0.094629
2011-2015,高校/科研院所,T07,速度 / 地震 / 频率 / 运移,1093,26345,0.041488
2011-2015,高校/科研院所,T08,地震 / 储层 / 测井 / 预测,2062,26345,0.078269
2011-2015,高校/科研院所,T09,盆地 / 地层 / 构造 / 断层,4303,26345,0.163333
2011-2015,高校/科研院所,T10,页岩 / 页岩气 / 勘探 / 成藏,1064,26345,0.040387
2011-2015,高校/科研院所,T11,储层 / 驱替 / 注入 / 采收率,2007,26345,0.076181
2011-2015,企业研发中心,T01,二氧化碳 / 实验 / 模拟 / 储层,886,22817,0.038831
2011-2015,企业研发中心,T02,储层 / 孔隙 / 渗透率 / 孔隙度,1797,22817,0.078757
2011-2015,企业研发中心,T03,油田 / 钻井 / 储层 / 地层,5155,22817,0.225928
2011-2015,企业研发中心,T04,钻井 / 裂缝 / 水力压裂 / 水平,3120,22817,0.13674
2011-2015,企业研发中心,T05,催化剂 / 地层 / 产品 / 收率,1309,22817,0.05737
2011-2015,企业研发中心,T06,水合物 / 地层 / 颗粒 / 浓度,602,22817,0.026384
2011-2015,企业研发中心,T07,速度 / 地震 / 频率 / 运移,722,22817,0.031643
2011-2015,企业研发中心,T08,地震 / 储层 / 测井 / 预测,2009,22817,0.088048
2011-2015,企业研发中心,T09,盆地 / 地层 / 构造 / 断层,3899,22817,0.170881
2011-2015,企业研发中心,T10,页岩 / 页岩气 / 勘探 / 成藏,1177,22817,0.051584
2011-2015,企业研发中心,T11,储层 / 驱替 / 注入 / 采收率,2141,22817,0.093834
2011-2015,政府机构,T01,二氧化碳 / 实验 / 模拟 / 储层,6,23,0.26087
2011-2015,政府机构,T02,储层 / 孔隙 / 渗透率 / 孔隙度,2,23,0.086957
2011-2015,政府机构,T05,催化剂 / 地层 / 产品 / 收率,10,23,0.434783
2011-2015,政府机构,T06,水合物 / 地层 / 颗粒 / 浓度,5,23,0.217391
2016-2020,高校/科研院所,T01,储层 / 裂缝 / 地震 / 应力,3656,22347,0.163601
2016-2020,高校/科研院所,T02,断层 / 盆地 / 构造 / 储层,1597,22347,0.071464
2016-2020,高校/科研院所,T03,孔隙 / 页岩 / 储层 / 孔隙度,1752,22347,0.0784
2016-2020,高校/科研院所,T04,钻井 / 水力压裂 / 储层 / 凝胶,1204,22347,0.053877
2016-2020,高校/科研院所,T05,颗粒 / 燃烧 / 灰分 / 实验,2099,22347,0.093928
2016-2020,高校/科研院所,T06,催化剂 / 构造 / 活性 / 催化,3439,22347,0.153891
2016-2020,高校/科研院所,T07,岩石 / 表面活性剂 / 样品 / 润湿性,977,22347,0.04372
2016-2020,高校/科研院所,T08,水合物 / 甲烷 / 吸附 / 实验,1509,22347,0.067526
2016-2020,高校/科研院所,T09,储层 / 沉积 / 碳酸盐岩 / 盆地,1735,22347,0.077639
2016-2020,高校/科研院所,T10,二氧化碳 / 采收率 / 注入 / 驱替,1830,22347,0.08189
2016-2020,高校/科研院所,T11,产品 / 热解 / 收率 / 化合物,2549,22347,0.114065
2016-2020,企业研发中心,T01,储层 / 裂缝 / 地震 / 应力,1709,6635,0.257573
2016-2020,企业研发中心,T02,断层 / 盆地 / 构造 / 储层,1127,6635,0.169857
2016-2020,企业研发中心,T03,孔隙 / 页岩 / 储层 / 孔隙度,831,6635,0.125245
2016-2020,企业研发中心,T04,钻井 / 水力压裂 / 储层 / 凝胶,755,6635,0.113791
2016-2020,企业研发中心,T05,颗粒 / 燃烧 / 灰分 / 实验,72,6635,0.010852
2016-2020,企业研发中心,T06,催化剂 / 构造 / 活性 / 催化,176,6635,0.026526
2016-2020,企业研发中心,T07,岩石 / 表面活性剂 / 样品 / 润湿性,292,6635,0.044009
2016-2020,企业研发中心,T08,水合物 / 甲烷 / 吸附 / 实验,118,6635,0.017784
2016-2020,企业研发中心,T09,储层 / 沉积 / 碳酸盐岩 / 盆地,933,6635,0.140618
2016-2020,企业研发中心,T10,二氧化碳 / 采收率 / 注入 / 驱替,436,6635,0.065712
2016-2020,企业研发中心,T11,产品 / 热解 / 收率 / 化合物,186,6635,0.028033
2016-2020,政府机构,T03,孔隙 / 页岩 / 储层 / 孔隙度,8,37,0.216216
2016-2020,政府机构,T05,颗粒 / 燃烧 / 灰分 / 实验,3,37,0.081081
2016-2020,政府机构,T06,催化剂 / 构造 / 活性 / 催化,12,37,0.324324
2016-2020,政府机构,T07,岩石 / 表面活性剂 / 样品 / 润湿性,2,37,0.054054
2016-2020,政府机构,T08,水合物 / 甲烷 / 吸附 / 实验,3,37,0.081081
2016-2020,政府机构,T10,二氧化碳 / 采收率 / 注入 / 驱替,4,37,0.108108
2016-2020,政府机构,T11,产品 / 热解 / 收率 / 化合物,5,37,0.135135
2021-2025,高校/科研院所,T01,构造 / 复合材料 / 材料 / 强度,2192,28280,0.077511
2021-2025,高校/科研院所,T02,产品 / 热解 / 收率 / 化学,3454,28280,0.122136
2021-2025,高校/科研院所,T03,页岩 / 孔隙 / 储层 / 岩石,1517,28280,0.053642
2021-2025,高校/科研院所,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,2388,28280,0.084441
2021-2025,高校/科研院所,T05,燃烧 / 采收率 / 注入 / 表面活性剂,2105,28280,0.074434
2021-2025,高校/科研院所,T06,储层 / 钻井 / 预测 / 地震,4149,28280,0.146711
2021-2025,高校/科研院所,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,2820,28280,0.099717
2021-2025,高校/科研院所,T08,盆地 / 断层 / 构造 / 储层,2198,28280,0.077723
2021-2025,高校/科研院所,T09,催化剂 / 催化 / 活性 / 位点,3113,28280,0.110078
2021-2025,高校/科研院所,T10,二氧化碳 / 储存 / 密度 / 构造,2452,28280,0.086704
2021-2025,高校/科研院所,T11,效率 / 电子 / 机理,1892,28280,0.066902
2021-2025,企业研发中心,T01,构造 / 复合材料 / 材料 / 强度,85,4351,0.019536
2021-2025,企业研发中心,T02,产品 / 热解 / 收率 / 化学,176,4351,0.04045
2021-2025,企业研发中心,T03,页岩 / 孔隙 / 储层 / 岩石,593,4351,0.136291
2021-2025,企业研发中心,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,293,4351,0.067341
2021-2025,企业研发中心,T05,燃烧 / 采收率 / 注入 / 表面活性剂,374,4351,0.085957
2021-2025,企业研发中心,T06,储层 / 钻井 / 预测 / 地震,1196,4351,0.274879
2021-2025,企业研发中心,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,686,4351,0.157665
2021-2025,企业研发中心,T08,盆地 / 断层 / 构造 / 储层,784,4351,0.180188
2021-2025,企业研发中心,T09,催化剂 / 催化 / 活性 / 位点,109,4351,0.025052
2021-2025,企业研发中心,T10,二氧化碳 / 储存 / 密度 / 构造,31,4351,0.007125
2021-2025,企业研发中心,T11,效率 / 电子 / 机理,24,4351,0.005516
2021-2025,政府机构,T01,构造 / 复合材料 / 材料 / 强度,2,42,0.047619
2021-2025,政府机构,T02,产品 / 热解 / 收率 / 化学,9,42,0.214286
2021-2025,政府机构,T03,页岩 / 孔隙 / 储层 / 岩石,2,42,0.047619
2021-2025,政府机构,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,2,42,0.047619
2021-2025,政府机构,T05,燃烧 / 采收率 / 注入 / 表面活性剂,2,42,0.047619
2021-2025,政府机构,T06,储层 / 钻井 / 预测 / 地震,2,42,0.047619
2021-2025,政府机构,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,4,42,0.095238
2021-2025,政府机构,T09,催化剂 / 催化 / 活性 / 位点,12,42,0.285714
2021-2025,政府机构,T10,二氧化碳 / 储存 / 密度 / 构造,5,42,0.119048
2021-2025,政府机构,T11,效率 / 电子 / 机理,2,42,0.047619
