阶段,主题编号,主题标签,主题文献数,阶段文献总数,主题强度,平均主题概率,代表关键词
2011-2015,T01,二氧化碳 / 实验 / 模拟 / 储层,3808,43625,0.087289,0.089794,二氧化碳 | 实验 | 模拟 | 储层 | 方程 | 地层 | 注入 | 渗透率 | 燃烧 | 液相 | 数值 | gradient
2011-2015,T02,储层 / 孔隙 / 渗透率 / 孔隙度,3100,43625,0.07106,0.078114,储层 | 孔隙 | 渗透率 | 孔隙度 | 岩石 | 地层 | 砂岩 | 裂缝 | 页岩 | 岩心 | 特征 | 致密
2011-2015,T03,油田 / 钻井 / 储层 / 地层,6088,43625,0.139553,0.130247,油田 | 钻井 | 储层 | 地层 | 应用 | 油藏 | 提高 | 效果 | 测井 | 影响 | 水力压裂 | 水平井
2011-2015,T04,钻井 / 裂缝 / 水力压裂 / 水平,4867,43625,0.111564,0.103709,钻井 | 裂缝 | 水力压裂 | 水平 | 应力 | 地层 | 井筒 | 设计 | 套管 | 井眼 | 储层 | 钻井液
2011-2015,T05,催化剂 / 地层 / 产品 / 收率,5875,43625,0.13467,0.127182,催化剂 | 地层 | 产品 | 收率 | 比值 | 活性 | 转化 | 反应器 | 催化 | 柴油 | 汽油 | 浓度
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,3055,43625,0.070029,0.072797,水合物 | 地层 | 颗粒 | 浓度 | 沥青质 | 实验 | 甲烷 | 构造 | 稳定性 | 样品 | 表面活性剂 | 钻井液
2011-2015,T07,速度 / 地震 / 频率 / 运移,1577,43625,0.036149,0.043338,速度 | 地震 | 频率 | 运移 | 成像 | resistivity | 埋深 | 方程 | 振幅 | 层系 | angle | 构造
2011-2015,T08,地震 / 储层 / 测井 / 预测,3409,43625,0.078143,0.081467,地震 | 储层 | 测井 | 预测 | 反演 | 工艺 | 解释 | 分布 | 频率 | 地质 | information | 特征
2011-2015,T09,盆地 / 地层 / 构造 / 断层,6570,43625,0.150602,0.140649,盆地 | 地层 | 构造 | 断层 | 储层 | 岩石 | 沉积 | 分布 | 区带 | 成藏 | 三角洲 | 层序
2011-2015,T10,页岩 / 页岩气 / 勘探 / 成藏,1907,43625,0.043713,0.056713,页岩 | 页岩气 | 勘探 | 成藏 | 盆地 | 生成 | 储层 | 资源 | 甲烷 | 有机质 | reserves | 地质
2011-2015,T11,储层 / 驱替 / 注入 / 采收率,3369,43625,0.077226,0.075989,储层 | 驱替 | 注入 | 采收率 | 聚合物 | 渗透率 | 油田 | 黏度 | 水力压裂 | 泡沫 | 岩心 | 凝胶
2016-2020,T01,储层 / 裂缝 / 地震 / 应力,5325,28835,0.184671,0.177362,储层 | 裂缝 | 地震 | 应力 | 渗透率 | 预测 | 频率 | 速度 | 反演 | 分布 | 特征 | 模拟
2016-2020,T02,断层 / 盆地 / 构造 / 储层,2541,28835,0.088122,0.08944,断层 | 盆地 | 构造 | 储层 | 岩石 | 成藏 | 区带 | 勘探 | 运移 | 地震 | 凹陷 | 分布
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,2249,28835,0.077995,0.083484,孔隙 | 页岩 | 储层 | 孔隙度 | 渗透率 | 样品 | 页岩气 | 岩石 | 吸附 | clay | 砂岩 | 特征
2016-2020,T04,钻井 / 水力压裂 / 储层 / 凝胶,2250,28835,0.07803,0.078678,钻井 | 水力压裂 | 储层 | 凝胶 | 井筒 | 油田 | 聚合物 | 注入 | 驱替 | 砂体 | 封堵 | 水平
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,2311,28835,0.080146,0.077775,颗粒 | 燃烧 | 灰分 | 实验 | 火焰 | 液相 | 烟炱 | 比值 | 柴油 | air | gasification | 机理
2016-2020,T06,催化剂 / 构造 / 活性 / 催化,3743,28835,0.129808,0.117238,催化剂 | 构造 | 活性 | 催化 | 吸附 | 金属 | prepared | 材料 | 复合材料 | membrane | selectivity | 电子
2016-2020,T07,岩石 / 表面活性剂 / 样品 / 润湿性,1180,28835,0.040922,0.047033,岩石 | 表面活性剂 | 样品 | 润湿性 | 盐水 | 盐度 | 有机质 | 碳酸盐岩 | kerogen | 浓度 | 成熟度 | 组成
2016-2020,T08,水合物 / 甲烷 / 吸附 / 实验,1649,28835,0.057187,0.063165,水合物 | 甲烷 | 吸附 | 实验 | 聚合物 | 浓度 | diffusion | transport | 行为 | 分子 | 二氧化碳 | 多孔
2016-2020,T09,储层 / 沉积 / 碳酸盐岩 / 盆地,2330,28835,0.080805,0.081633,储层 | 沉积 | 碳酸盐岩 | 盆地 | 砂岩 | 三角洲 | 河道 | 层序 | 砂体 | 层段 | 分布 | dolomite
