阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,二氧化碳 / 实验 / 模拟 / 储层,1107,13941,0.079406
2011-2015,头部引领型,T02,储层 / 孔隙 / 渗透率 / 孔隙度,1378,13941,0.098845
2011-2015,头部引领型,T03,油田 / 钻井 / 储层 / 地层,567,13941,0.040671
2011-2015,头部引领型,T04,钻井 / 裂缝 / 水力压裂 / 水平,1904,13941,0.136576
2011-2015,头部引领型,T05,催化剂 / 地层 / 产品 / 收率,1260,13941,0.090381
2011-2015,头部引领型,T06,水合物 / 地层 / 颗粒 / 浓度,827,13941,0.059321
2011-2015,头部引领型,T07,速度 / 地震 / 频率 / 运移,666,13941,0.047773
2011-2015,头部引领型,T08,地震 / 储层 / 测井 / 预测,1341,13941,0.096191
2011-2015,头部引领型,T09,盆地 / 地层 / 构造 / 断层,2559,13941,0.183559
2011-2015,头部引领型,T10,页岩 / 页岩气 / 勘探 / 成藏,902,13941,0.064701
2011-2015,头部引领型,T11,储层 / 驱替 / 注入 / 采收率,1430,13941,0.102575
2011-2015,中坚创新型,T01,二氧化碳 / 实验 / 模拟 / 储层,390,1806,0.215947
2011-2015,中坚创新型,T02,储层 / 孔隙 / 渗透率 / 孔隙度,102,1806,0.056478
2011-2015,中坚创新型,T03,油田 / 钻井 / 储层 / 地层,3,1806,0.001661
2011-2015,中坚创新型,T04,钻井 / 裂缝 / 水力压裂 / 水平,44,1806,0.024363
2011-2015,中坚创新型,T05,催化剂 / 地层 / 产品 / 收率,606,1806,0.335548
2011-2015,中坚创新型,T06,水合物 / 地层 / 颗粒 / 浓度,276,1806,0.152824
2011-2015,中坚创新型,T07,速度 / 地震 / 频率 / 运移,66,1806,0.036545
2011-2015,中坚创新型,T08,地震 / 储层 / 测井 / 预测,83,1806,0.045958
2011-2015,中坚创新型,T09,盆地 / 地层 / 构造 / 断层,111,1806,0.061462
2011-2015,中坚创新型,T10,页岩 / 页岩气 / 勘探 / 成藏,67,1806,0.037099
2011-2015,中坚创新型,T11,储层 / 驱替 / 注入 / 采收率,58,1806,0.032115
