阶段,机构类型,主题编号,主题标签,主题论文数,机构类型文献总数,主题占比
2011-2015,高校/科研院所,T01,二氧化碳 / 实验 / 注入 / 模拟,2851,26199,0.108821
2011-2015,高校/科研院所,T02,储层 / 孔隙 / 渗透率 / 裂缝,2851,26199,0.108821
2011-2015,高校/科研院所,T03,油田 / 钻井 / 储层 / 地层,1178,26199,0.044964
2011-2015,高校/科研院所,T04,钻井 / 裂缝 / 水平 / 水力压裂,2264,26199,0.086416
2011-2015,高校/科研院所,T05,产品 / 催化剂 / 收率 / 汽油,1418,26199,0.054124
2011-2015,高校/科研院所,T06,水合物 / 地层 / 颗粒 / 浓度,1757,26199,0.067064
2011-2015,高校/科研院所,T07,地震 / 速度 / 频率 / 反演,1652,26199,0.063056
2011-2015,高校/科研院所,T08,储层 / 地震 / 预测 / 测井,1879,26199,0.07172
2011-2015,高校/科研院所,T09,盆地 / 构造 / 地层 / 沉积,3221,26199,0.122944
2011-2015,高校/科研院所,T10,岩石 / 成藏 / 储层 / 地层,1667,26199,0.063628
2011-2015,高校/科研院所,T11,驱替 / 注入 / 储层 / 页岩,1766,26199,0.067407
2011-2015,高校/科研院所,T12,催化剂 / 地层 / 吸附 / 活性,3695,26199,0.141036
2011-2015,企业研发中心,T01,二氧化碳 / 实验 / 注入 / 模拟,445,17353,0.025644
2011-2015,企业研发中心,T02,储层 / 孔隙 / 渗透率 / 裂缝,1607,17353,0.092606
2011-2015,企业研发中心,T03,油田 / 钻井 / 储层 / 地层,4972,17353,0.286521
2011-2015,企业研发中心,T04,钻井 / 裂缝 / 水平 / 水力压裂,2442,17353,0.140725
2011-2015,企业研发中心,T05,产品 / 催化剂 / 收率 / 汽油,854,17353,0.049213
2011-2015,企业研发中心,T06,水合物 / 地层 / 颗粒 / 浓度,554,17353,0.031925
2011-2015,企业研发中心,T07,地震 / 速度 / 频率 / 反演,752,17353,0.043335
2011-2015,企业研发中心,T08,储层 / 地震 / 预测 / 测井,1284,17353,0.073993
2011-2015,企业研发中心,T09,盆地 / 构造 / 地层 / 沉积,1863,17353,0.107359
2011-2015,企业研发中心,T10,岩石 / 成藏 / 储层 / 地层,1044,17353,0.060163
2011-2015,企业研发中心,T11,驱替 / 注入 / 储层 / 页岩,1317,17353,0.075895
2011-2015,企业研发中心,T12,催化剂 / 地层 / 吸附 / 活性,219,17353,0.01262
2016-2020,高校/科研院所,T01,储层 / 裂缝 / 渗透率 / 应力,2246,22243,0.100976
2016-2020,高校/科研院所,T02,盆地 / 断层 / 构造 / 岩石,1945,22243,0.087443
2016-2020,高校/科研院所,T03,孔隙 / 页岩 / 储层 / 孔隙度,1801,22243,0.080969
2016-2020,高校/科研院所,T04,钻井 / 水力压裂 / 凝胶 / 储层,1018,22243,0.045767
2016-2020,高校/科研院所,T05,颗粒 / 燃烧 / 灰分 / 实验,2080,22243,0.093513
2016-2020,高校/科研院所,T06,催化剂 / 催化 / 构造 / 活性,3741,22243,0.168188
2016-2020,高校/科研院所,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,982,22243,0.044149
2016-2020,高校/科研院所,T08,水合物 / 甲烷 / 聚合物 / 实验,1363,22243,0.061278
2016-2020,高校/科研院所,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,1632,22243,0.073371
2016-2020,高校/科研院所,T10,二氧化碳 / 注入 / 采收率 / 稠油,1597,22243,0.071798
2016-2020,高校/科研院所,T11,产品 / 热解 / 收率 / 化合物,2093,22243,0.094097
2016-2020,高校/科研院所,T12,地震 / 频率 / 速度 / 反演,1745,22243,0.078452
2016-2020,企业研发中心,T01,储层 / 裂缝 / 渗透率 / 应力,496,2438,0.203445
2016-2020,企业研发中心,T02,盆地 / 断层 / 构造 / 岩石,424,2438,0.173913
2016-2020,企业研发中心,T03,孔隙 / 页岩 / 储层 / 孔隙度,234,2438,0.09598
2016-2020,企业研发中心,T04,钻井 / 水力压裂 / 凝胶 / 储层,306,2438,0.125513
2016-2020,企业研发中心,T05,颗粒 / 燃烧 / 灰分 / 实验,39,2438,0.015997
2016-2020,企业研发中心,T06,催化剂 / 催化 / 构造 / 活性,74,2438,0.030353
2016-2020,企业研发中心,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,83,2438,0.034044
2016-2020,企业研发中心,T08,水合物 / 甲烷 / 聚合物 / 实验,45,2438,0.018458
2016-2020,企业研发中心,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,247,2438,0.101313
2016-2020,企业研发中心,T10,二氧化碳 / 注入 / 采收率 / 稠油,156,2438,0.063987
2016-2020,企业研发中心,T11,产品 / 热解 / 收率 / 化合物,70,2438,0.028712
2016-2020,企业研发中心,T12,地震 / 频率 / 速度 / 反演,264,2438,0.108285
2021-2025,高校/科研院所,T01,构造 / 复合材料 / 强度 / 材料,2187,28227,0.077479
2021-2025,高校/科研院所,T02,产品 / 热解 / 收率 / 机理,4236,28227,0.150069
2021-2025,高校/科研院所,T03,页岩 / 孔隙 / 储层 / 岩石,1598,28227,0.056612
2021-2025,高校/科研院所,T04,水合物 / 二氧化碳 / 采收率 / 注入,3836,28227,0.135898
2021-2025,高校/科研院所,T05,燃烧 / 火焰 / 颗粒 / 烟炱,1659,28227,0.058774
2021-2025,高校/科研院所,T06,储层 / 钻井 / 预测 / 地震,4088,28227,0.144826
2021-2025,高校/科研院所,T07,裂缝 / 孔隙 / 渗透率 / 吸附,2625,28227,0.092996
2021-2025,高校/科研院所,T08,盆地 / 断层 / 构造 / 储层,2046,28227,0.072484
2021-2025,高校/科研院所,T09,催化剂 / 催化 / 活性 / 位点,3302,28227,0.11698
2021-2025,高校/科研院所,T10,二氧化碳 / 构造 / 密度 / 稳定性,2650,28227,0.093882
2021-2025,企业研发中心,T01,构造 / 复合材料 / 强度 / 材料,47,1707,0.027534
2021-2025,企业研发中心,T02,产品 / 热解 / 收率 / 机理,89,1707,0.052138
2021-2025,企业研发中心,T03,页岩 / 孔隙 / 储层 / 岩石,160,1707,0.093732
2021-2025,企业研发中心,T04,水合物 / 二氧化碳 / 采收率 / 注入,326,1707,0.190978
2021-2025,企业研发中心,T05,燃烧 / 火焰 / 颗粒 / 烟炱,32,1707,0.018746
2021-2025,企业研发中心,T06,储层 / 钻井 / 预测 / 地震,532,1707,0.311658
2021-2025,企业研发中心,T07,裂缝 / 孔隙 / 渗透率 / 吸附,181,1707,0.106034
2021-2025,企业研发中心,T08,盆地 / 断层 / 构造 / 储层,282,1707,0.165202
2021-2025,企业研发中心,T09,催化剂 / 催化 / 活性 / 位点,45,1707,0.026362
2021-2025,企业研发中心,T10,二氧化碳 / 构造 / 密度 / 稳定性,13,1707,0.007616
