演化路径编号,2011-2015主题编号,2011-2015主题标签,2011-2015主题强度,2016-2020主题编号,2016-2020主题标签,2016-2020主题强度,2021-2025主题编号,2021-2025主题标签,2021-2025主题强度
P01,T01,二氧化碳 / 实验 / 注入 / 模拟,0.077731,T10,二氧化碳 / 注入 / 采收率 / 稠油,0.072412,T10,二氧化碳 / 构造 / 密度 / 稳定性,0.08817
P02,T02,储层 / 孔隙 / 渗透率 / 裂缝,0.09341,T03,孔隙 / 页岩 / 储层 / 孔隙度,0.080943,T03,页岩 / 孔隙 / 储层 / 岩石,0.05663
P03,T03,油田 / 钻井 / 储层 / 地层,0.139622,,,,,,
P04,T04,钻井 / 裂缝 / 水平 / 水力压裂,0.105696,T04,钻井 / 水力压裂 / 凝胶 / 储层,0.063534,T01,构造 / 复合材料 / 强度 / 材料,0.074438
P05,T05,产品 / 催化剂 / 收率 / 汽油,0.060103,T11,产品 / 热解 / 收率 / 化合物,0.082226,T02,产品 / 热解 / 收率 / 机理,0.147785
P06,T06,水合物 / 地层 / 颗粒 / 浓度,0.052653,T08,水合物 / 甲烷 / 聚合物 / 实验,0.051396,T04,水合物 / 二氧化碳 / 采收率 / 注入,0.13341
P07,T07,地震 / 速度 / 频率 / 反演,0.05545,T12,地震 / 频率 / 速度 / 反演,0.088365,T06,储层 / 钻井 / 预测 / 地震,0.16171
P08,T08,储层 / 地震 / 预测 / 测井,0.075828,T01,储层 / 裂缝 / 渗透率 / 应力,0.120652,T07,裂缝 / 孔隙 / 渗透率 / 吸附,0.088651
P09,T09,盆地 / 构造 / 地层 / 沉积,0.113352,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,0.073348,,,
P10,T10,岩石 / 成藏 / 储层 / 地层,0.059989,T02,盆地 / 断层 / 构造 / 岩石,0.105636,T08,盆地 / 断层 / 构造 / 储层,0.081208
P11,T11,驱替 / 注入 / 储层 / 页岩,0.066957,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,0.039223,,,
P12,T12,催化剂 / 地层 / 吸附 / 活性,0.099209,T06,催化剂 / 催化 / 构造 / 活性,0.142847,T09,催化剂 / 催化 / 活性 / 位点,0.111015
P13,,,,T05,颗粒 / 燃烧 / 灰分 / 实验,0.079417,T05,燃烧 / 火焰 / 颗粒 / 烟炱,0.056983
