阶段,候选主题数,样本文献数,词汇表规模,困惑度,一致性得分,困惑度排名,一致性排名,综合排序值,是否选中
2011-2015,6,20000,5000,1318.2241,0.132913,7,5,12,0
2011-2015,7,20000,5000,1263.127613,0.12314,6,7,13,0
2011-2015,8,20000,5000,1247.861757,0.131698,5,6,11,0
2011-2015,9,20000,5000,1234.483191,0.138774,4,4,8,0
2011-2015,10,20000,5000,1196.976467,0.144831,3,3,6,0
2011-2015,11,20000,5000,1186.680168,0.15282,1,1,2,1
2011-2015,12,20000,5000,1193.282956,0.146794,2,2,4,0
2016-2020,6,20000,5000,1571.556165,0.151574,7,5,12,0
2016-2020,7,20000,5000,1558.979381,0.132371,6,7,13,0
2016-2020,8,20000,5000,1504.446401,0.140764,5,6,11,0
2016-2020,9,20000,5000,1474.672477,0.154015,4,4,8,0
2016-2020,10,20000,5000,1447.345603,0.165216,3,2,5,0
2016-2020,11,20000,5000,1420.74048,0.167174,1,1,2,1
2016-2020,12,20000,5000,1422.930327,0.157749,2,3,5,0
2021-2025,6,20000,5000,1703.509142,0.138127,7,7,14,0
2021-2025,7,20000,5000,1671.497875,0.15533,6,3,9,0
2021-2025,8,20000,5000,1620.656604,0.158456,5,2,7,0
2021-2025,9,20000,5000,1608.026374,0.148075,4,5,9,0
2021-2025,10,20000,5000,1591.016401,0.151449,3,4,7,0
2021-2025,11,20000,5000,1549.178231,0.162977,2,1,3,1
2021-2025,12,20000,5000,1545.428179,0.147866,1,6,7,0
