阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2011-2015,1,储层,55571,17674,1.0,43078
2011-2015,2,地层,34322,17404,0.617624,43078
2011-2015,3,构造,18656,9086,0.335715,43078
2011-2015,4,盆地,16249,8133,0.292401,43078
2011-2015,5,裂缝,16136,4697,0.290367,43078
2011-2015,6,钻井,15641,6320,0.28146,43078
2011-2015,7,渗透率,13839,6326,0.249033,43078
2011-2015,8,地震,13650,5499,0.245632,43078
2011-2015,9,孔隙,11861,4433,0.213439,43078
2011-2015,10,断层,11146,3371,0.200572,43078
2011-2015,11,油田,10100,6066,0.181749,43078
2011-2015,12,页岩,9382,2841,0.168829,43078
2011-2015,13,沉积,8895,4586,0.160066,43078
2011-2015,14,勘探,8640,5147,0.155477,43078
2011-2015,15,注入,8522,3453,0.153353,43078
2011-2015,16,催化剂,8482,2585,0.152634,43078
2011-2015,17,水力压裂,8435,2743,0.151788,43078
2011-2015,18,二氧化碳,7468,2134,0.134387,43078
2011-2015,19,砂体,7410,3243,0.133343,43078
2011-2015,20,岩心,7286,4575,0.131112,43078
2016-2020,1,储层,34676,10674,1.0,28845
2016-2020,2,地层,28763,14969,0.829479,28845
2016-2020,3,孔隙,16225,4439,0.467903,28845
2016-2020,4,构造,14842,7325,0.428019,28845
2016-2020,5,裂缝,13695,3320,0.394942,28845
2016-2020,6,页岩,12481,3158,0.359932,28845
2016-2020,7,盆地,12119,5780,0.349492,28845
2016-2020,8,二氧化碳,11358,2823,0.327546,28845
2016-2020,9,渗透率,10459,4267,0.301621,28845
2016-2020,10,催化剂,9260,2774,0.267043,28845
2016-2020,11,样品,8000,3952,0.230707,28845
2016-2020,12,断层,7782,1971,0.22442,28845
2016-2020,13,地震,7740,3161,0.223209,28845
2016-2020,14,沉积,7048,3295,0.203253,28845
2016-2020,15,注入,7024,2755,0.202561,28845
2016-2020,16,水合物,6867,941,0.198033,28845
2016-2020,17,吸附,6489,2384,0.187132,28845
2016-2020,18,采收率,6320,3032,0.182259,28845
2016-2020,19,岩心,6247,3601,0.180153,28845
2016-2020,20,甲烷,6196,2198,0.178683,28845
2021-2025,1,地层,32030,18657,1.0,31222
2021-2025,2,储层,25547,8624,0.797596,31222
2021-2025,3,二氧化碳,21988,4738,0.686481,31222
2021-2025,4,构造,17324,9253,0.540868,31222
2021-2025,5,孔隙,15640,4836,0.488292,31222
2021-2025,6,催化剂,14095,4320,0.440056,31222
2021-2025,7,水合物,13005,1707,0.406026,31222
2021-2025,8,裂缝,12604,3104,0.393506,31222
2021-2025,9,页岩,11065,2739,0.345457,31222
2021-2025,10,渗透率,10489,4282,0.327474,31222
2021-2025,11,吸附,9490,3668,0.296285,31222
2021-2025,12,甲烷,8972,2896,0.280112,31222
2021-2025,13,效率,8795,5882,0.274586,31222
2021-2025,14,样品,8139,3969,0.254106,31222
2021-2025,15,盆地,7963,3685,0.248611,31222
2021-2025,16,注入,7471,2904,0.23325,31222
2021-2025,17,采收率,7438,3513,0.23222,31222
2021-2025,18,浓度,7320,4151,0.228536,31222
2021-2025,19,稳定性,6991,4626,0.218264,31222
2021-2025,20,储存,6854,2997,0.213987,31222
