阶段,主题编号,主题标签,主题文献数,阶段文献总数,主题强度,平均主题概率,代表关键词
2011-2015,T01,二氧化碳 / 实验 / 注入 / 模拟,3391,43625,0.077731,0.081834,二氧化碳 | 实验 | 注入 | 模拟 | 地层 | 燃烧 | 方程 | 液相 | 蒸汽 | 颗粒 | 数值 | 采收率
2011-2015,T02,储层 / 孔隙 / 渗透率 / 裂缝,4075,43625,0.09341,0.094354,储层 | 孔隙 | 渗透率 | 裂缝 | 孔隙度 | 砂岩 | 岩石 | 地层 | 特征 | 岩心 | 页岩 | 致密
2011-2015,T03,油田 / 钻井 / 储层 / 地层,6091,43625,0.139622,0.130021,油田 | 钻井 | 储层 | 地层 | 应用 | 油藏 | 提高 | 效果 | 测井 | 影响 | 水力压裂 | 水平井
2011-2015,T04,钻井 / 裂缝 / 水平 / 水力压裂,4611,43625,0.105696,0.096872,钻井 | 裂缝 | 水平 | 水力压裂 | 应力 | 地层 | 井筒 | 设计 | 套管 | 井眼 | 水平井 | 钻头
2011-2015,T05,产品 / 催化剂 / 收率 / 汽油,2622,43625,0.060103,0.063829,产品 | 催化剂 | 收率 | unit | 汽油 | 柴油 | 油品 | 比值 | 热解 | 炼油 | fcc | 组成
2011-2015,T06,水合物 / 地层 / 颗粒 / 浓度,2297,43625,0.052653,0.05611,水合物 | 地层 | 颗粒 | 浓度 | 钻井液 | 实验 | 沥青质 | 黏度 | salt | 水泥 | 稳定性 | 表面活性剂
2011-2015,T07,地震 / 速度 / 频率 / 反演,2419,43625,0.05545,0.058297,地震 | 速度 | 频率 | 反演 | 振幅 | 噪声 | 成像 | 处理 | reflection | signal | 埋深 | 运移
2011-2015,T08,储层 / 地震 / 预测 / 测井,3308,43625,0.075828,0.081344,储层 | 地震 | 预测 | 测井 | 工艺 | 地质 | 分布 | 解释 | 评价 | modeling | 勘探 | information
2011-2015,T09,盆地 / 构造 / 地层 / 沉积,4945,43625,0.113352,0.11283,盆地 | 构造 | 地层 | 沉积 | 断层 | 储层 | 岩石 | 三角洲 | 层序 | 区带 | 分布 | 勘探
2011-2015,T10,岩石 / 成藏 / 储层 / 地层,2617,43625,0.059989,0.060753,岩石 | 成藏 | 储层 | 地层 | 断层 | 运移 | 盆地 | 生成 | 凹陷 | 构造 | 勘探 | 烃源岩
2011-2015,T11,驱替 / 注入 / 储层 / 页岩,2921,43625,0.066957,0.069764,驱替 | 注入 | 储层 | 页岩 | 采收率 | 聚合物 | 页岩气 | 水力压裂 | 渗透率 | 油田 | 黏度 | 泡沫
2011-2015,T12,催化剂 / 地层 / 吸附 / 活性,4328,43625,0.099209,0.093993,催化剂 | 地层 | 吸附 | 活性 | 二氧化碳 | 浓度 | 构造 | 催化 | 氧化 | prepared | 转化 | 产品
2016-2020,T01,储层 / 裂缝 / 渗透率 / 应力,3479,28835,0.120652,0.120826,储层 | 裂缝 | 渗透率 | 应力 | 水力压裂 | 水平 | 模拟 | 分布 | 特征 | 建立 | 评价 | fractured
2016-2020,T02,盆地 / 断层 / 构造 / 岩石,3046,28835,0.105636,0.101554,盆地 | 断层 | 构造 | 岩石 | 储层 | 成藏 | 勘探 | 区带 | 运移 | 分布 | 凹陷 | 生成
2016-2020,T03,孔隙 / 页岩 / 储层 / 孔隙度,2334,28835,0.080943,0.083215,孔隙 | 页岩 | 储层 | 孔隙度 | 样品 | 岩石 | 页岩气 | 砂岩 | 特征 | 渗透率 | clay | 分布
2016-2020,T04,钻井 / 水力压裂 / 凝胶 / 储层,1832,28835,0.063534,0.063014,钻井 | 水力压裂 | 凝胶 | 储层 | 井筒 | 聚合物 | 驱替 | 油田 | 注入 | 封堵 | 砂体 | 阻力
2016-2020,T05,颗粒 / 燃烧 / 灰分 / 实验,2290,28835,0.079417,0.075714,颗粒 | 燃烧 | 灰分 | 实验 | 火焰 | 液相 | 烟炱 | 比值 | 柴油 | air | gasification | bed
2016-2020,T06,催化剂 / 催化 / 构造 / 活性,4119,28835,0.142847,0.127744,催化剂 | 催化 | 构造 | 活性 | 金属 | 吸附 | 材料 | prepared | selectivity | 复合材料 | membrane | 转化
2016-2020,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,1131,28835,0.039223,0.043724,表面活性剂 | 采收率 | 吸附 | 润湿性 | 盐水 | 驱替 | 浓度 | 盐度 | 储层 | 岩石 | 实验 | 岩心
2016-2020,T08,水合物 / 甲烷 / 聚合物 / 实验,1482,28835,0.051396,0.056678,水合物 | 甲烷 | 聚合物 | 实验 | 浓度 | 分子 | diffusion | 行为 | transport | 构造 | 黏度 | 吸附
2016-2020,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,2115,28835,0.073348,0.072612,沉积 | 储层 | 碳酸盐岩 | 三角洲 | 盆地 | 河道 | 层序 | 砂岩 | dolomite | 砂体 | stratigraphic | sea
2016-2020,T10,二氧化碳 / 注入 / 采收率 / 稠油,2088,28835,0.072412,0.078536,二氧化碳 | 注入 | 采收率 | 稠油 | 蒸汽 | 沥青质 | 储层 | 黏度 | 储存 | 实验 | 溶剂 | 效率
2016-2020,T11,产品 / 热解 / 收率 / 化合物,2371,28835,0.082226,0.082992,产品 | 热解 | 收率 | 化合物 | 化学 | degradation | 生物质 | 氧化 | 反应 | 转化 | aromatic | 浓度
2016-2020,T12,地震 / 频率 / 速度 / 反演,2548,28835,0.088365,0.093391,地震 | 频率 | 速度 | 反演 | 预测 | 测井 | accuracy | algorithm | resistivity | 成像 | 密度 | information
2021-2025,T01,构造 / 复合材料 / 强度 / 材料,2320,31167,0.074438,0.078513,构造 | 复合材料 | 强度 | 材料 | 聚合物 | 热采 | 凝胶 | self | 阻力 | 稳定性 | prepared | material
2021-2025,T02,产品 / 热解 / 收率 / 机理,4606,31167,0.147785,0.13854,产品 | 热解 | removal | 收率 | 机理 | degradation | 化学 | 化合物 | 氧化 | 生物质 | dot | 构造
2021-2025,T03,页岩 / 孔隙 / 储层 / 岩石,1765,31167,0.05663,0.065517,页岩 | 孔隙 | 储层 | 岩石 | 样品 | 孔隙度 | 砂岩 | 碳酸盐岩 | clay | mineral | 矿物 | 有机质
2021-2025,T04,水合物 / 二氧化碳 / 采收率 / 注入,4158,31167,0.13341,0.121413,水合物 | 二氧化碳 | 采收率 | 注入 | 储层 | 驱替 | 储存 | 实验 | 甲烷 | 表面活性剂 | 浓度 | 黏度
2021-2025,T05,燃烧 / 火焰 / 颗粒 / 烟炱,1776,31167,0.056983,0.059915,燃烧 | 火焰 | 颗粒 | 烟炱 | emissions | air | 比值 | ammonia | nox | 实验 | 浓度 | 机理
2021-2025,T06,储层 / 钻井 / 预测 / 地震,5040,31167,0.16171,0.158298,储层 | 钻井 | 预测 | 地震 | accuracy | 裂缝 | 网络 | 优化 | 岩石 | 模拟 | 井筒 | 工艺
2021-2025,T07,裂缝 / 孔隙 / 渗透率 / 吸附,2763,31167,0.088651,0.094608,裂缝 | 孔隙 | 渗透率 | 吸附 | 水力压裂 | 储层 | 应力 | 甲烷 | 二氧化碳 | 页岩 | 实验 | 构造
2021-2025,T08,盆地 / 断层 / 构造 / 储层,2531,31167,0.081208,0.08329,盆地 | 断层 | 构造 | 储层 | 沉积 | 区带 | 地震 | 岩石 | 勘探 | 成藏 | 分布 | sea
2021-2025,T09,催化剂 / 催化 / 活性 / 位点,3460,31167,0.111015,0.109212,催化剂 | 催化 | 活性 | 位点 | 金属 | cu | 转化 | 二氧化碳 | selectivity | 构造 | 吸附 | pt
2021-2025,T10,二氧化碳 / 构造 / 密度 / 稳定性,2748,31167,0.08817,0.090692,二氧化碳 | 构造 | 密度 | ion | 稳定性 | li | 分离 | membrane | 材料 | 储存 | 层系 | electrolyte
