阶段,词项,总词频,文献频次
2011-2015,储层,55571,17674
2011-2015,地层,34322,17404
2011-2015,构造,18656,9086
2011-2015,盆地,16249,8133
2011-2015,裂缝,16136,4697
2011-2015,钻井,15641,6320
2011-2015,渗透率,13839,6326
2011-2015,地震,13650,5499
2011-2015,孔隙,11861,4433
2011-2015,断层,11146,3371
2011-2015,油田,10100,6066
2011-2015,页岩,9382,2841
2011-2015,沉积,8895,4586
2011-2015,勘探,8640,5147
2011-2015,注入,8522,3453
2011-2015,催化剂,8482,2585
2011-2015,水力压裂,8435,2743
2011-2015,二氧化碳,7468,2134
2011-2015,砂体,7410,3243
2011-2015,岩心,7286,4575
2011-2015,区带,7219,3715
2011-2015,驱替,6872,2750
2011-2015,砂岩,6774,3161
2011-2015,采收率,6713,3682
2011-2015,成藏,6629,3191
2011-2015,测井,6561,3635
2011-2015,孔隙度,6516,3268
2011-2015,浓度,5702,3262
2011-2015,区块,5532,3426
2011-2015,样品,5518,3056
2011-2015,碳酸盐岩,5491,2732
2011-2015,水平,5461,2899
2011-2015,模拟,5069,3471
2011-2015,水合物,5059,879
2011-2015,效率,5015,3360
2011-2015,速度,4960,2419
2011-2015,颗粒,4907,2201
2011-2015,评价,4846,3325
2011-2015,应力,4842,1915
2011-2015,液相,4765,2551
2011-2015,聚合物,4721,1609
2011-2015,预测,4646,2972
2011-2015,运移,4522,2375
2011-2015,河道,4521,1956
2011-2015,产品,4305,2640
2011-2015,设计,4279,2887
2011-2015,埋深,4178,2661
2011-2015,密度,4167,2548
2011-2015,建立,4106,3677
2011-2015,凹陷,4058,1873
2011-2015,黏度,4037,2065
2011-2015,稠油,3998,2040
2011-2015,层序,3912,1652
2011-2015,热采,3899,2355
2011-2015,钻井液,3785,1661
2011-2015,三角洲,3785,1641
2011-2015,甲烷,3753,1564
2011-2015,演化,3739,2519
2011-2015,厚度,3674,2421
2011-2015,饱和度,3668,1750
2011-2015,吸附,3662,1587
2011-2015,层段,3652,1789
2011-2015,活性,3618,2256
2011-2015,页岩气,3582,1220
2011-2015,收率,3556,2013
2011-2015,频率,3524,1555
2011-2015,化学,3519,2552
2011-2015,组成,3474,2544
2011-2015,方程,3402,1991
2011-2015,矿物,3380,1796
2011-2015,水平井,3375,1592
2011-2015,生成,3347,1991
2011-2015,蒸汽,3232,1005
2011-2015,垂向,3217,2269
2011-2015,产能,3210,1680
2011-2015,解释,3195,2146
2011-2015,井筒,3193,1649
2011-2015,反演,3115,1460
2011-2015,处理,3063,2049
2011-2015,稳定性,3061,2099
2011-2015,井眼,2977,1723
2011-2015,优化,2933,2085
2011-2015,致密,2869,1471
2011-2015,有机质,2777,1502
2011-2015,表面活性剂,2750,952
2011-2015,套管,2730,1017
2011-2015,泥浆,2675,1396
2011-2015,流体,2668,1591
2011-2015,黏土,2585,1406
2011-2015,转化,2551,1625
2011-2015,成本,2535,1855
2011-2015,数值,2490,1926
2011-2015,角度,2480,1428
2011-2015,反应器,2479,1427
2011-2015,凝胶,2470,909
2011-2015,储量,2466,1448
