左阶段,左主题编号,右阶段,右主题编号,主题相似度,纳入演化路径
2011-2015,T02,2016-2020,T08,0.762076,1
2011-2015,T04,2016-2020,T02,0.617765,1
2011-2015,T05,2016-2020,T09,0.280267,1
2011-2015,T06,2016-2020,T04,0.48999,1
2011-2015,T07,2016-2020,T03,0.787924,1
2011-2015,T08,2016-2020,T01,0.625801,1
2011-2015,T09,2016-2020,T07,0.88957,1
2011-2015,T10,2016-2020,T05,0.448002,1
2011-2015,T11,2016-2020,T10,0.70743,1
2011-2015,T12,2016-2020,T06,0.536172,1
2016-2020,T01,2021-2025,T02,0.890364,1
2016-2020,T02,2021-2025,T06,0.562857,1
2016-2020,T03,2021-2025,T11,0.839214,1
2016-2020,T04,2021-2025,T08,0.190631,0
2016-2020,T05,2021-2025,T09,0.672349,1
2016-2020,T06,2021-2025,T10,0.524253,1
2016-2020,T07,2021-2025,T05,0.865082,1
2016-2020,T08,2021-2025,T07,0.56627,1
2016-2020,T09,2021-2025,T04,0.480296,1
2016-2020,T10,2021-2025,T01,0.435878,1
