阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2011-2015,1,储层,55571,17674,1.0,43078
2011-2015,2,地层,34322,17404,0.617624,43078
2011-2015,3,构造,18656,9086,0.335715,43078
2011-2015,4,盆地,16249,8133,0.292401,43078
2011-2015,5,裂缝,16136,4697,0.290367,43078
2011-2015,6,钻井,15641,6320,0.28146,43078
2011-2015,7,渗透率,13839,6326,0.249033,43078
2011-2015,8,地震,13650,5499,0.245632,43078
2011-2015,9,孔隙,11861,4433,0.213439,43078
2011-2015,10,断层,11146,3371,0.200572,43078
2011-2015,11,油田,10100,6066,0.181749,43078
2011-2015,12,页岩,9382,2841,0.168829,43078
2011-2015,13,沉积,8895,4586,0.160066,43078
2011-2015,14,勘探,8640,5147,0.155477,43078
2011-2015,15,注入,8522,3453,0.153353,43078
2011-2015,16,催化剂,8482,2585,0.152634,43078
2011-2015,17,水力压裂,8435,2743,0.151788,43078
2011-2015,18,二氧化碳,7468,2134,0.134387,43078
2011-2015,19,砂体,7410,3243,0.133343,43078
2011-2015,20,岩心,7286,4575,0.131112,43078
2011-2015,21,区带,7219,3715,0.129906,43078
2011-2015,22,驱替,6872,2750,0.123662,43078
2011-2015,23,砂岩,6774,3161,0.121898,43078
2011-2015,24,采收率,6713,3682,0.1208,43078
2011-2015,25,成藏,6629,3191,0.119289,43078
2011-2015,26,测井,6561,3635,0.118065,43078
2011-2015,27,孔隙度,6516,3268,0.117255,43078
2011-2015,28,浓度,5702,3262,0.102607,43078
2011-2015,29,区块,5532,3426,0.099548,43078
2011-2015,30,样品,5518,3056,0.099296,43078
2011-2015,31,碳酸盐岩,5491,2732,0.098811,43078
2011-2015,32,水平,5461,2899,0.098271,43078
2011-2015,33,模拟,5069,3471,0.091217,43078
2011-2015,34,水合物,5059,879,0.091037,43078
2011-2015,35,效率,5015,3360,0.090245,43078
2011-2015,36,速度,4960,2419,0.089255,43078
2011-2015,37,颗粒,4907,2201,0.088301,43078
2011-2015,38,评价,4846,3325,0.087204,43078
2011-2015,39,应力,4842,1915,0.087132,43078
2011-2015,40,液相,4765,2551,0.085746,43078
2011-2015,41,聚合物,4721,1609,0.084954,43078
2011-2015,42,预测,4646,2972,0.083605,43078
2011-2015,43,运移,4522,2375,0.081373,43078
2011-2015,44,河道,4521,1956,0.081355,43078
2011-2015,45,产品,4305,2640,0.077468,43078
2011-2015,46,设计,4279,2887,0.077001,43078
2011-2015,47,埋深,4178,2661,0.075183,43078
2011-2015,48,密度,4167,2548,0.074985,43078
2011-2015,49,建立,4106,3677,0.073887,43078
2011-2015,50,凹陷,4058,1873,0.073024,43078
2011-2015,51,黏度,4037,2065,0.072646,43078
2011-2015,52,稠油,3998,2040,0.071944,43078
2011-2015,53,层序,3912,1652,0.070396,43078
2011-2015,54,热采,3899,2355,0.070162,43078
2011-2015,55,钻井液,3785,1661,0.068111,43078
2011-2015,56,三角洲,3785,1641,0.068111,43078
2011-2015,57,甲烷,3753,1564,0.067535,43078
2011-2015,58,演化,3739,2519,0.067283,43078
2011-2015,59,厚度,3674,2421,0.066114,43078
2011-2015,60,饱和度,3668,1750,0.066006,43078
2011-2015,61,吸附,3662,1587,0.065898,43078
2011-2015,62,层段,3652,1789,0.065718,43078
2011-2015,63,活性,3618,2256,0.065106,43078
2011-2015,64,页岩气,3582,1220,0.064458,43078
2011-2015,65,收率,3556,2013,0.06399,43078
2011-2015,66,频率,3524,1555,0.063414,43078
2011-2015,67,化学,3519,2552,0.063324,43078
2011-2015,68,组成,3474,2544,0.062515,43078
2011-2015,69,方程,3402,1991,0.061219,43078
2011-2015,70,矿物,3380,1796,0.060823,43078
2011-2015,71,水平井,3375,1592,0.060733,43078
2011-2015,72,生成,3347,1991,0.060229,43078
2011-2015,73,蒸汽,3232,1005,0.05816,43078
2011-2015,74,垂向,3217,2269,0.05789,43078
2011-2015,75,产能,3210,1680,0.057764,43078
2011-2015,76,解释,3195,2146,0.057494,43078
2011-2015,77,井筒,3193,1649,0.057458,43078
2011-2015,78,反演,3115,1460,0.056054,43078
2011-2015,79,处理,3063,2049,0.055119,43078
2011-2015,80,稳定性,3061,2099,0.055083,43078
2011-2015,81,井眼,2977,1723,0.053571,43078
2011-2015,82,优化,2933,2085,0.052779,43078
2011-2015,83,致密,2869,1471,0.051628,43078
2011-2015,84,有机质,2777,1502,0.049972,43078
2011-2015,85,表面活性剂,2750,952,0.049486,43078
2011-2015,86,套管,2730,1017,0.049126,43078
2011-2015,87,泥浆,2675,1396,0.048137,43078
